Item;Condition;Familiarity;Compositionality;Predictability;Register;Spelling;Pin_yin;Ur_Pinyin;Fig_Transl;Lit_Transl;Last_char;Strokes;StrokeDiff;semantic_distance_corr_noP
13;diffT;4848;;1;;大同小仪;da4 tong2 xiao3 yi2;;;big equal small ceremony;仪;5;1.0;
13;sameT;4848;;1;;大同小亦;da4 tong2 xiao3 yi4;;;big equal small also;亦;6;0.0;
13;noP;4848;;1;;大同小合;da4 tong2 xiao3 he2;;;big equal small together;合;6;0.0;0.5683249533176422
14;corr;4598;4.671;1;0.667;天涯海角;tian1 ya2 hai3 jiao3;tiān yá hǎi jiǎo;Opposites;sky edge sea corner;角;7;;
14;diffT;4598;;1;;天涯海娇;tian1 ya2 hai3 jiao1;;;sky edge sea lovable;娇;9;-2.0;
14;sameT;4598;;1;;天涯海狡;tian1 ya2 hai3 jiao3;;;sky edge sea crafty;狡;9;-2.0;
14;noP;4598;;1;;天涯海弟;tian1 ya2 hai3 di4;;;sky edge sea brother;弟;7;0.0;0.7680356651544571
15;corr;4391;3.922;1;0.852;如火如荼;ru2 huo3 ru2 tu2;rú huǒ rú tú;Full expansion;like fire like grass;荼;10;;
15;diffT;4391;;1;;如火如兔;ru2 huo3 ru2 tu4;;;like fire like rabbit;兔;8;2.0;
15;sameT;4391;;1;;如火如徒;ru2 huo3 ru2 tu2;;;like fire like apprentice;徒;10;0.0;
15;noP;4391;;1;;如火如衷;ru2 huo3 ru2 zhong1;;;like fire like feelings;衷;10;0.0;0.6068208813667297
16;corr;4706;4.412;1;0.704;安居乐业;an1 ju1 le4 ye4;ān jū lè yè;To live peacefully;peacefully live enjoy work;业;5;;
16;diffT;4706;;1;;安居乐爷;an1 ju1 le4 ye2;;;peacefully live enjoy grandpa;爷;6;-1.0;
16;sameT;4706;;1;;安居乐叶;an1 ju1 le4 ye4;;;peacefully live enjoy leaf;叶;5;0.0;
16;noP;4706;;1;;安居乐矢;an1 ju1 le4 shi3;;;peacefully live enjoy arrow;矢;5;0.0;0.745972067117691
17;corr;4662;4.294;1;0.815;对症下药;dui4 zheng4 xia4 yao4;duì zhèng xià yào;To treat something;regarding disease give medicine;药;9;;
17;diffT;4662;;1;;对症下姚;dui4 zheng4 xia4 yao2;;;regarding disease give handsome;姚;9;0.0;
17;sameT;4662;;1;;对症下钥;dui4 zheng4 xia4 yao4;;;regarding disease give key;钥;9;0.0;
17;noP;4662;;1;;对症下语;dui4 zheng4 xia4 yu3;;;regarding disease give  speech;语;9;0.0;0.7188186645507812
18;corr;4734;4.525;1;0.667;应有尽有;ying1 you3 jin4 you3;yīng yǒu jìn yǒu;Everything at its place;should exist everything exist;有;6;;
18;diffT;4734;;1;;应有尽优;ying1 you3 jin4 you1;;;should exist everything excellent;优;6;0.0;
18;sameT;4734;;1;;应有尽卣;ying1 you3 jin4 you3;;;should exist everything winecontainer;卣;7;-1.0;
18;noP;4734;;1;;应有尽收;ying1 you3 jin4 shou1;;;should exist everything receive;收;6;0.0;0.6245325207710266
19;corr;4742;4.72;1;0.741;弄虚作假;nong4 xu1 zuo4 jia3;nòng xū zuò jiǎ;Lie;do fake create mischievous;假;11;;
19;diffT;4742;;1;;弄虚作颊;nong4 xu1 zuo4 jia2;;;do fake create cheeks;颊;12;-1.0;
19;sameT;4742;;1;;弄虚作胛;nong4 xu1 zuo4 jia3;;;do fake create shoulder_blade;胛;9;2.0;
19;noP;4742;;1;;弄虚作梨;nong4 xu1 zuo4 li2;;;do fake create pear;梨;11;0.0;0.7230333089828491
20;corr;4449;3.559;1;0.889;引人入胜;yin3 ren2 ru4 sheng4;yǐn rén rù shèng;Mesmerize people with beauty;lure person enter splendor;胜;9;;
20;diffT;4449;;1;;引人入绳;yin3 ren2 ru4 sheng2;;;lure person enter rope/string;绳;11;-2.0;
20;sameT;4449;;1;;引人入盛;yin3 ren2 ru4 sheng4;;;lure person enter prosperous;盛;11;-2.0;
20;noP;4449;;1;;引人入俣;yin3 ren2 ru4 yu3;;;lure person enter big;俣;9;0.0;0.7845043689012527
21;corr;4707;3.908;1;0.778;得心应手;de2 xin1 ying4 shou3;dé xīn yìng shǒu;Do something with skills;obtain heart adapt hand;手;4;;
21;diffT;4707;;1;;得心应收;de2 xin1 ying4 shou1;;;obtain heart adapt receive;收;6;-2.0;
21;sameT;4707;;1;;得心应守;de2 xin1 ying4 shou3;;;obtain heart adapt guard;守;6;-2.0;
21;noP;4707;;1;;得心应月;de2 xin1 ying4 yue4;;;obtain heart adapt moon;月;4;0.0;0.666431188583374
22;corr;4632;4.294;1;0.704;心平气和;xin1 ping2 qi4 he2;xīn píng qì hé;Peaceful attitude;heart quiet breath peaceful;和;8;;
22;diffT;4632;;1;;心平气诃;xin1 ping2 qi4 he1;;;heart quiet breath scold;诃;8;0.0;
22;sameT;4632;;1;;心平气河;xin1 ping2 qi4 he2;;;heart quiet breath river;河;8;0.0;
22;noP;4632;;1;;心平气帜;xin1 ping2 qi4 zhi4;;;heart quiet breath flag;帜;8;0.0;0.8432604372501373
23;corr;4615;4.085;1;0.963;心旷神怡;xin1 kuang4 shen2 yi2;xīn kuàng shén yí;Full of joy;heart free spirit harmonious;怡;8;;
23;diffT;4615;;1;;心旷神异;xin1 kuang4 shen2 yi4;;;heart free spirit different;异;6;2.0;
23;sameT;4615;;1;;心旷神夷;xin1 kuang4 shen2 yi2;;;heart free spirit barbarians;夷;6;2.0;
23;noP;4615;;1;;心旷神籴;xin1 kuang4 shen2 di3;;;heart free spirit grain;籴;8;;0.7206135392189026
24;corr;4828;4.492;1;0.519;心满意足;xin1 man3 yi4 zu2;xīn mǎn yì zú;Happy in the heart;heart full desire enough;足;7;;
24;diffT;4828;;1;;心满意诅;xin1 man3 yi4 zu3;;;heart full desire curse;诅;7;0.0;
24;sameT;4828;;1;;心满意卒;xin1 man3 yi4 zu2;;;heart full desire soldier;卒;8;-1.0;
24;noP;4828;;1;;心满意卣;xin1 man3 yi4 you3;;;heart full desire wine container;卣;7;0.0;0.7334097027778625
25;corr;4753;4.671;1;0.63;心甘情愿;xin1 gan1 qing2 yuan4;xīn gān qíng yuàn;Do something with passion;heart sweet emotion will;愿;14;;
25;diffT;4753;;1;;心甘情缘;xin1 gan1 qing2 yuan2;;;heart sweet emotion fate;缘;12;2.0;
25;sameT;4753;;1;;心甘情媛;xin1 gan1 qing2 yuan4;;;heart sweet emotion beautiful_woman;媛;12;2.0;
25;noP;4753;;1;;心甘情疑;xin1 gan1 qing2 yi4;;;heart sweet emotion doubt;疑;14;0.0;0.6707146465778351
26;corr;4813;4.6;1;0.889;志同道合;zhi4 tong2 dao4 he2;zhì tóng dào hé;To have the same principles;will same road align;合;6;;
26;diffT;4813;;1;;志同道吓;zhi4 tong2 dao4 he4;;;will same road scare;吓;6;0.0;
26;sameT;4813;;1;;志同道何;zhi4 tong2 dao4 he2;;;will same road carry;何;7;-1.0;
26;noP;4813;;1;;志同道亦;zhi4 tong2 dao4 yi4;;;will same road also;亦;6;0.0;0.5357625484466553
