Item;Condition;Familiarity;Compositionality;Predictability;Register;Spelling;Pin_yin;Ur_Pinyin;Fig_Transl;Lit_Transl;Last_char;Strokes;StrokeDiff
12;noP;4.850;NA;1;NA;大吃一绳;da4 chi1 yi1 shen2;NA;NA;big eat one rope;绳;11;0
13;corr;4.848;4.765;1;0.741;大同小异;da4 tong2 xiao3 yi4;dà tóng xiǎo yì;Similar;big equal small different;异;6;NA
13;diffT;4.848;NA;1;NA;大同小仪;da4 tong2 xiao3 yi2;NA;NA;big equal small ceremony;仪;5;-1
13;sameT;4.848;NA;1;NA;大同小亦;da4 tong2 xiao3 yi4;NA;NA;big equal small also;亦;6;0
13;noP;4.848;NA;1;NA;大同小母;da4 tong2 xiao3 mu3;NA;NA;big equal small mother;母;5;-1
14;corr;4.598;4.671;1;0.667;天涯海角;tian1 ya2 hai3 jiao3;tiān yá hǎi jiǎo;Opposites;sky edge sea corner;角;7;NA
14;diffT;4.598;NA;1;NA;天涯海娇;tian1 ya2 hai3 jiao1;NA;NA;sky edge sea lovable;娇;9;2
14;sameT;4.598;NA;1;NA;天涯海狡;tian1 ya2 hai3 jiao3;NA;NA;sky edge sea crafty;狡;9;2
14;noP;4.598;NA;1;NA;天涯海重;tian1 ya2 hai3 zhong4;NA;NA;sky edge sea heavy;重;9;2
15;corr;4.391;3.922;1;0.852;如火如荼;ru2 huo3 ru2 tu2;rú huǒ rú tú;Full expansion;like fire like grass;荼;10;NA
15;diffT;4.391;NA;1;NA;如火如兔;ru2 huo3 ru2 tu4;NA;NA;like fire like rabbit;兔;8;-2
15;sameT;4.391;NA;1;NA;如火如徒;ru2 huo3 ru2 tu2;NA;NA;like fire like apprentice;徒;10;0
15;noP;4.391;NA;1;NA;如火如诃;ru2 huo3 ru2 he1;NA;NA;like fire like scold;诃;8;-2
16;corr;4.706;4.412;1;0.704;安居乐业;an1 ju1 le4 ye4;ān jū lè yè;To live peacefully;peacefully live enjoy work;业;5;NA
16;diffT;4.706;NA;1;NA;安居乐爷;an1 ju1 le4 ye2;NA;NA;peacefully live enjoy grandpa;爷;6;1
