Item;Condition;Familiarity;Compositionality;Predictability;Register;Spelling;Pin_yin;Ur_Pinyin;Fig_Transl;Lit_Transl;Last_char;Strokes;StrokeDiff;Frequency;Frequency_Percentage;Sem_Distance;Levenshtein_Distance;Relative_Frequency
36;sameT;4.63;NA;0.769;NA;求真务时;qiu2 zhen1 wu4 shi2;NA;NA;search truth concentrate hour;时;7;-1;833532;0.430757%;0.625908344984055;1;0.004307569468661
36;noP;4.63;NA;0.769;NA;求真务优;qiu2 zhen1 wu4 you1;NA;NA;search truth concentrate eccellent;优;6;-2;46613;0.024089%;0.573878854513168;1;0.000240889054821
37;corr;4.663;3.686;1;0.741;游刃有余;you2 ren4 you3 yu2;yóu rèn yǒu yú;sort it out with skills;move blade have extra;余;7;NA;50601;0.026150%;NA;0;0.000261498445991
37;diffT;4.663;NA;1;NA;游刃有雨;you2 ren4 you3 yu4;NA;NA;move blade have rain;雨;8;1;35370;0.018279%;0.633708387613297;0.6;0.00018278690213
37;sameT;4.663;NA;1;NA;游刃有鱼;you2 ren4 you3 yu2;NA;NA;move blade have fish;鱼;8;1;40452;0.020905%;0.676875382661819;0.777777777777778;0.000209049922674
37;noP;4.663;NA;1;NA;游刃有沽;you2 ren4 you3 gu1;NA;NA;move blade have buy;沽;8;1;1043;0.000539%;0.667264044284821;0.8;0.000005390068955
38;corr;4.652;4.294;0.769;0.852;独树一帜;du2 shu4 yi1 zhi4;dú shù yī zhì;stand out;only stand one flag;帜;8;NA;2452;0.001267%;NA;0;0.000012671571502
38;diffT;4.652;NA;0.769;NA;独树一直;du2 shu4 yi1 zhi2;NA;NA;only stand one straighten;直;8;0;169439;0.087564%;0.665597528219223;0.75;0.000875635564322
38;sameT;4.652;NA;0.769;NA;独树一质;du2 shu4 yi1 zhi4;NA;NA;only stand one question;质;8;0;104560;0.054035%;0.654701173305511;0.8;0.000540350536804
38;noP;4.652;NA;0.769;NA;独树一终;du2 shu4 yi1 zhong1;NA;NA;only stand one end;终;8;0;72533;0.037484%;0.551332920789719;0.666666666666667;0.000374839761725
39;corr;4.324;3.765;1;0.852;琳琅满目;lin2 lang2 man3 mu4;lín láng mǎn mù;beautiful things to see;beautiful jem full eye;目;5;NA;180827;0.093449%;NA;0;0.000934487055457
39;diffT;4.324;NA;1;NA;琳琅满母;lin2 lang2 man3 mu3;NA;NA;beautiful jem full mother;母;5;0;71462;0.036930%;0.625924855470657;1;0.000369304992933
39;sameT;4.324;NA;1;NA;琳琅满木;lin2 lang2 man3 mu4;NA;NA;beautiful jem full tree;木;4;-1;54433;0.028130%;0.552642494440079;1;0.000281301652351
39;noP;4.324;NA;1;NA;琳琅满汁;lin2 lang2 man3 zhi1;NA;NA;beautiful jem full juice;汁;5;0;3564;0.001842%;0.728174060583115;1;0.000018418222199
40;corr;4.828;4.521;1;0.556;甜言蜜语;tian2 yan2 mi4 yu3;tián yán mì yǔ;to use flattering words;sweet words honey speech;语;9;NA;82805;0.042792%;NA;0;0.000427923930758
40;diffT;4.828;NA;1;NA;甜言蜜鱼;tian2 yan2 mi4 yu2;NA;NA;sweet words honey fish;鱼;8;-1;40452;0.020905%;0.699845641851425;0.818181818181818;0.000209049922674
40;sameT;4.828;NA;1;NA;甜言蜜俣;tian2 yan2 mi4 yu3;NA;NA;sweet words honey big;俣;9;0;197;0.000102%;0.692597001791;0.5;0.000001018066715
40;noP;4.828;NA;1;NA;甜言蜜帜;tian2 yan2 mi4 zhi4;NA;NA;sweet words honey flag;帜;8;-1;2452;0.001267%;0.541590303182602;0.5;0.000012671571502
41;corr;4.782;4.322;1;0.778;精打细算;jing1 da3 xi4 suan4;jīng dǎ xì suàn;to plan in detail;refined do subtle count;算;14;NA;105293;0.054414%;NA;0;0.000544138571841
41;diffT;4.782;NA;1;NA;精打细酸;jing1 da3 xi4 suan1;NA;NA;refined do subtle sour;酸;14;0;14855;0.007677%;0.712796568870544;1;0.000076768431754
41;sameT;4.782;NA;1;NA;精打细蒜;jing1 da3 xi4 suan4;NA;NA;refined do subtle garlic;蒜;13;-1;1091;0.000564%;0.703918963670731;0.833333333333333;0.000005638125819
41;noP;4.782;NA;1;NA;精打细疑;jing1 da3 xi4 yi2;NA;NA;refined do subtle doubt;疑;14;0;53982;0.027897%;0.710007131099701;0.6;0.000278970951394
42;corr;4.382;3.608;1;0.815;耐人寻味;nai4 ren2 xun2 wei4;nài rén xún wèi;to spark the imagination;resist people search taste;味;8;NA;40704;0.021035%;NA;0;0.000210352221213
42;diffT;4.382;NA;1;NA;耐人寻违;nai4 ren2 xun2 wei2;NA;NA;resist people search disobey;违;7;-1;22751;0.011757%;0.673227787017822;1;0.000117573785987
42;sameT;4.382;NA;1;NA;耐人寻畏;nai4 ren2 xun2 wei4;NA;NA;resist people search fear;畏;9;1;6722;0.003474%;0.626778274774551;1;0.000034738296752
42;noP;4.382;NA;1;NA;耐人寻邸;nai4 ren2 xun2 di3;NA;NA;resist people search residence;邸;7;-1;1521;0.000786%;0.731724053621292;0.75;0.000007860301898
43;corr;4.632;4.431;1;0.778;自始至终;zi4 shi3 zhi4 zhong1;zì shǐ zhì zhōng;endless;from beginning to end;终;8;NA;72533;0.037484%;NA;0;0.000374839761725
43;diffT;4.632;NA;1;NA;自始至重;zi4 shi3 zhi4 zhong4;NA;NA;from beginning to heavy;重;9;1;282843;0.146169%;0.567040413618088;1;0.001461690578435
43;sameT;4.632;NA;1;NA;自始至衷;zi4 shi3 zhi4 zhong1;NA;NA;from beginning to innerfeelings;衷;10;2;5781;0.002988%;0.523495584726334;0.733333333333333;0.000029875348635
43;noP;4.632;NA;1;NA;自始至珏;zi4 shi3 zhi4 yue2;NA;NA;from beginning to jade;珏;9;1;172;0.000089%;0.699398577213287;0.6;0.000000888870432
44;corr;4.691;4.216;1;0.852;自欺欺人;zi4 qi1 qi1 ren2;zì qī qī rén;to deceive;self deceive deceive person;人;2;NA;1867999;0.965354%;NA;0;0.009653541147657
44;diffT;4.691;NA;1;NA;自欺欺刃;zi4 qi1 qi1 ren4;NA;NA;self deceive deceive edge_of_the_knife;刃;3;1;2858;0.001477%;0.732971429824829;1;0.000014769719149
44;sameT;4.691;NA;1;NA;自欺欺壬;zi4 qi1 qi1 ren2;NA;NA;self deceive deceive ninth;壬;4;2;564;0.000291%;0.772993445396423;1;0.00000291466816
44;noP;4.691;NA;1;NA;自欺欺力;zi4 qi1 qi1 li4;NA;NA;self deceive deceive power;力;2;0;359136;0.185596%;0.552561938762665;1;0.001855961461224
45;corr;4.85;4.686;1;0.667;自言自语;zi4 yan2 zi4 yu3;zì yán zì yǔ;think out loud;self talk self speech;语;9;NA;82805;0.042792%;NA;0;0.000427923930758
45;diffT;4.85;NA;1;NA;自言自鱼;zi4 yan2 zi4 yu2;NA;NA;self talk self fish;鱼;8;-1;40452;0.020905%;0.699845641851425;0.818181818181818;0.000209049922674
45;sameT;4.85;NA;1;NA;自言自俣;zi4 yan2 zi4 yu3;NA;NA;self talk self big;俣;9;0;197;0.000102%;0.692597001791;0.5;0.000001018066715
45;noP;4.85;NA;1;NA;自言自直;zi4 yan2 zi4 zhi2;NA;NA;self talk self straighten;直;8;-1;169439;0.087564%;0.615992248058319;0.8;0.000875635564322
46;corr;4.152;3.784;0.769;0.852;舞文弄墨;wu3 wen2 nong4 mo4;wǔ wén nòng mò;play with words;play writing manipulate ink;墨;15;NA;13959;0.007214%;NA;0;0.000072138036948
46;diffT;4.152;NA;0.769;NA;舞文弄模;wu3 wen2 nong4 mo2;NA;NA;play writing manipulate model;模;13;-2;54891;0.028367%;0.706911027431488;0.625;0.000283668528268
46;sameT;4.152;NA;0.769;NA;舞文弄磨;wu3 wen2 nong4 mo4;NA;NA;play writing manipulate grind;磨;16;1;13082;0.006761%;0.535614401102066;0.777777777777778;0.000067605831317
46;noP;4.152;NA;0.769;NA;舞文弄酸;wu3 wen2 nong4 suan1;NA;NA;play writing manipulate sour;酸;14;-1;14855;0.007677%;0.706994414329529;1;0.000076768431754
47;corr;4.667;4.561;1;0.889;若隐若现;ruo4 yin3 ruo4 xian4;ruò yǐn ruò xiàn;be vague;like hide like appear;现;8;NA;433960;0.224264%;NA;0;0.002242640770384
47;diffT;4.667;NA;1;NA;若隐若贤;ruo4 yin3 ruo4 xian2;NA;NA;like hide like worthy;贤;8;0;7713;0.003986%;0.58967062830925;0.857142857142857;0.000039859637437
47;sameT;4.667;NA;1;NA;若隐若限;ruo4 yin3 ruo4 xian4;NA;NA;like hide like limit;限;8;0;66018;0.034117%;0.602127015590668;0.8;0.000341171210202
47;noP;4.667;NA;1;NA;若隐若侈;ruo4 yin3 ruo4 chi3;NA;NA;like hide like extravagant;侈;8;0;1703;0.000880%;0.727363109588623;0.75;0.000008800850843
48;corr;4.91;4.305;1;0.926;见义勇为;jian4 yi4 yong3 wei2;jiàn yì yǒng wéi;to be brave;see justice brave act;为;4;NA;1039036;0.536958%;NA;0;0.005369583591799
48;diffT;4.91;NA;1;NA;见义勇未;jian4 yi4 yong3 wei4;NA;NA;see justice brave not_yet;未;5;1;110491;0.057100%;0.576941460371017;1;0.000571001063141
48;sameT;4.91;NA;1;NA;见义勇韦;jian4 yi4 yong3 wei2;NA;NA;see justice brave leather;韦;4;0;10882;0.005624%;0.763003572821617;1;0.000056236558354
48;noP;4.91;NA;1;NA;见义勇礼;jian4 yi4 yong3 li3;NA;NA;see justice brave gift;礼;5;1;35612;0.018404%;0.774534732103348;1;0.000184037522156
49;corr;4.632;4.439;0.867;0.704;谈天说地;tan2 tian1 shuo1 di4;tán tiān shuō dì;talk of everything;say sky say earth;地;6;NA;969349;0.500945%;NA;0;0.005009451535006
49;diffT;4.632;NA;0.867;NA;谈天说邸;tan2 tian1 shuo1 di3;NA;NA;say sky say residence;邸;7;1;1521;0.000786%;0.837331354618073;0.6;0.000007860301898
49;sameT;4.632;NA;0.867;NA;谈天说弟;tan2 tian1 shuo1 di4;NA;NA;say sky say little brother;弟;7;1;42706;0.022070%;0.723620921373367;0.833333333333333;0.000220698259609
49;noP;4.632;NA;0.867;NA;谈天说时;tan2 tian1 shuo1 shi2;NA;NA;say sky say hour;时;7;1;833532;0.430757%;0.440832793712616;0.75;0.004307569468661
50;corr;4.739;4.784;1;0.852;赏心悦目;shang3 xin1 yue4 mu4;shǎng xīn yuè mù;nice to hear;appreciate heart return eye;目;5;NA;180827;0.093449%;NA;0;0.000934487055457
50;diffT;4.739;NA;1;NA;赏心悦母;shang3 xin1 yue4 mu3;NA;NA;appreciate heart return mother;母;5;0;71462;0.036930%;0.625924855470657;1;0.000369304992933
50;sameT;4.739;NA;1;NA;赏心悦木;shang3 xin1 yue4 mu4;NA;NA;appreciate heart return tree;木;4;-1;54433;0.028130%;0.552642494440079;1;0.000281301652351
50;noP;4.739;NA;1;NA;赏心悦仪;shang3 xin1 yue4 yi2;NA;NA;appreciate heart return ceremony;仪;5;0;19064;0.009852%;0.664267182350159;1;0.000098519918072
51;corr;4.621;4.109;1;0.704;铺天盖地;pu1 tian1 gai4 di4;pū tiān gài dì;spread everywhere;spread sky cover soil;地;6;NA;969349;0.500945%;NA;0;0.005009451535006
51;diffT;4.621;NA;1;NA;铺天盖籴;pu1 tian1 gai4 di3;NA;NA;spread sky cover buy grain;籴;8;2;106;0.000055%;0.783965408802032;0.75;0.000000547792243
51;sameT;4.621;NA;1;NA;铺天盖帝;pu1 tian1 gai4 di4;NA;NA;spread sky cover emperor;帝;9;3;66035;0.034126%;0.83277328312397;0.75;0.000341259063675
51;noP;4.621;NA;1;NA;铺天盖终;pu1 tian1 gai4 zhong1;NA;NA;spread sky cover end;终;8;2;72533;0.037484%;0.669256925582886;0.666666666666667;0.000374839761725
52;corr;4.674;3.059;0.769;0.741;风花雪月;feng1 hua1 xue3 yue4;fēng huā xuě yuè;romantic;wind flower snow moon;月;4;NA;240566;0.124321%;NA;0;0.001243209327054
52;diffT;4.674;NA;0.769;NA;风花雪曰;feng1 hua1 xue3 yue1;NA;NA;wind flower snow speak;曰;4;0;11075;0.005723%;0.736825913190842;1;0.000057233953664
52;sameT;4.674;NA;0.769;NA;风花雪乐;feng1 hua1 xue3 yue4;NA;NA;wind flower snow music;乐;5;1;64965;0.033573%;0.661362200975418;1;0.000335729462734
52;noP;4.674;NA;0.769;NA;风花雪止;feng1 hua1 xue3 zhi3;NA;NA;wind flower snow stop;止;4;0;68082;0.035184%;0.54555869102478;1;0.000351837655381
53;corr;4.475;3.957;1;0.926;风起云涌;feng1 qi3 yun2 yong3;fēng qǐ yún yǒng;largely spread phenomena;wind rise cloud emerge;涌;10;NA;11228;0.005802%;NA;0;0.00005802463492
53;diffT;4.475;NA;1;NA;风起云庸;feng1 qi3 yun2 yong1;NA;NA;wind rise cloud common;庸;11;1;5835;0.003015%;0.69390943646431;1;0.000030154412608
53;sameT;4.475;NA;1;NA;风起云勇;feng1 qi3 yun2 yong3;NA;NA;wind rise cloud brave;勇;9;-1;21819;0.011276%;0.673902928829193;0.375;0.000112757348532
53;noP;4.475;NA;1;NA;风起云惊;feng1 qi3 yun2 jing1;NA;NA;wind rise cloud shock;惊;11;1;59724;0.030864%;0.622838824987411;0.733333333333333;0.000308644753826
54;corr;4.735;4.647;1;0.852;齐心协力;qi2 xin1 xie2 li4;qí xīn xié lì;work together;together heart cooperate power;力;2;NA;359136;0.185596%;NA;0;0.001855961461224
54;diffT;4.735;NA;1;NA;齐心协礼;qi2 xin1 xie2 li3;NA;NA;together heart cooperate gift;礼;5;3;35612;0.018404%;0.672346770763397;1;0.000184037522156
54;sameT;4.735;NA;1;NA;齐心协立;qi2 xin1 xie2 li4;NA;NA;together heart cooperate stand;立;5;3;204985;0.105933%;0.60686981678009;1;0.001059332008289
54;noP;4.735;NA;1;NA;齐心协矢;qi2 xin1 xie2 shi3;NA;NA;together heart cooperate arrow;矢;5;3;2466;0.001274%;0.682168811559677;0.75;0.000012743921421
