"Item","Condition","Familiarity","Compositionality","Predictability","Register","Spelling","Pin_yin","Ur_Pinyin","Fig_Transl","Lit_Transl","Last_char","Strokes","StrokeDiff","Frequency","Frequency_Percentage","Sem_Distance","Levenshtein_Distance","logFrequency","Group","List","correct_response"
18,"diffT",4.734,NA,1,NA,"应有尽优","ying1 you3 jin4 you1",NA,NA,"should exist everything excellent","优",6,0,46613,"0.024089%",0.690865516662598,1,10.7496347511659,"G3","L3","false"
18,"sameT",4.734,NA,1,NA,"应有尽卣","ying1 you3 jin4 you3",NA,NA,"should exist everything winecontainer","卣",7,1,118,"0.000061%",0.758187279105186,1,4.77068462446567,"G3","L1","false"
19,"corr",4.742,4.72,1,0.741,"弄虚作假","nong4 xu1 zuo4 jia3","nòng xū zuò jiǎ","Lie","do fake create mischievous","假",11,NA,62691,"0.032398%",NA,0,11.0459731756482,"G2","L3","true"
19,"diffT",4.742,NA,1,NA,"弄虚作颊","nong4 xu1 zuo4 jia2",NA,NA,"do fake create cheeks","颊",12,1,3025,"0.001563%",0.904396593570709,0.857142857142857,8.01466637046494,"G2","L1","false"
19,"sameT",4.742,NA,1,NA,"弄虚作胛","nong4 xu1 zuo4 jia3",NA,NA,"do fake create shoulder_blade","胛",9,-2,247,"0.000128%",0.827888399362564,0.75,5.50938833662798,"G2","L2","false"
2,"corr",4.735,4.333,0.692,0.407,"不知不觉","bu4 zhi1 bu4 jue2","bù zhī bù jué","Without realizing","not know not notice","觉",9,NA,132041,"0.068237%",NA,0,11.790867759401,"G2","L3","true"
2,"diffT",4.735,NA,0.692,NA,"不知不绝","bu4 zhi1 bu4 jue4",NA,NA,"not know not break","绝",9,0,72074,"0.037247%",0.571452289819717,1,11.185448647974,"G2","L1","false"
2,"sameT",4.735,NA,0.692,NA,"不知不珏","bu4 zhi1 bu4 jue2",NA,NA,"not know not jade","珏",9,0,172,"0.000089%",0.681798189878464,1,5.14749447681345,"G2","L2","false"
20,"corr",4.449,3.559,1,0.889,"引人入胜","yin3 ren2 ru4 sheng4","yǐn rén rù shèng","Mesmerize people with beauty","lure person enter splendor","胜",9,NA,49565,"0.025614%",NA,0,10.811040218467,"G3","L2","true"
20,"diffT",4.449,NA,1,NA,"引人入绳","yin3 ren2 ru4 sheng2",NA,NA,"lure person enter rope/string","绳",11,2,7256,"0.003750%",0.817426785826683,0.8,8.88958399179497,"G3","L3","false"
20,"sameT",4.449,NA,1,NA,"引人入盛","yin3 ren2 ru4 sheng4",NA,NA,"lure person enter prosperous","盛",11,2,24387,"0.012603%",0.673486858606339,1,10.1018054824147,"G3","L1","false"
21,"corr",4.707,3.908,1,0.778,"得心应手","de2 xin1 ying4 shou3","dé xīn yìng shǒu","Do something with skills","obtain heart adapt hand","手",4,NA,280442,"0.144928%",NA,0,12.5441222089457,"G3","L2","true"
21,"diffT",4.707,NA,1,NA,"得心应收","de2 xin1 ying4 shou1",NA,NA,"obtain heart adapt receive","收",6,2,120897,"0.062478%",0.528025150299072,1,11.7026942223992,"G3","L3","false"
21,"sameT",4.707,NA,1,NA,"得心应守","de2 xin1 ying4 shou3",NA,NA,"obtain heart adapt guard","守",6,2,44264,"0.022875%",0.62212410569191,1,10.6979269845779,"G3","L1","false"
22,"corr",4.632,4.294,1,0.704,"心平气和","xin1 ping2 qi4 he2","xīn píng qì hé","Peaceful attitude","heart quiet breath peaceful","和",8,NA,1010465,"0.522193%",NA,0,13.8259211789073,"G1","L1","true"
22,"diffT",4.632,NA,1,NA,"心平气诃","xin1 ping2 qi4 he1",NA,NA,"heart quiet breath scold","诃",8,0,814,"0.000421%",0.846438184380531,0.5,6.70196036600254,"G1","L2","false"
22,"sameT",4.632,NA,1,NA,"心平气河","xin1 ping2 qi4 he2",NA,NA,"heart quiet breath river","河",8,0,69687,"0.036013%",0.685842543840408,0.5,11.1517690657229,"G1","L3","false"
23,"corr",4.615,4.085,1,0.963,"心旷神怡","xin1 kuang4 shen2 yi2","xīn kuàng shén yí","Full of joy","heart free spirit harmonious","怡",8,NA,3649,"0.001886%",NA,0,8.20220843643645,"G3","L2","true"
