"Item","Condition","Familiarity","Compositionality","Predictability","Register","Spelling","Pin_yin","Ur_Pinyin","Fig_Transl","Lit_Transl","Last_char","Strokes","StrokeDiff","Frequency","Frequency_Percentage","Sem_Distance","Levenshtein_Distance","logFrequency","Group","List","correct_response"
44,"corr",4.691,4.216,1,0.852,"自欺欺人","zi4 qi1 qi1 ren2","zì qī qī rén","to deceive","self deceive deceive person","人",2,NA,1867999,"0.965354%",NA,0,14.4403783624389,"G1","L1","true"
44,"diffT",4.691,NA,1,NA,"自欺欺刃","zi4 qi1 qi1 ren4",NA,NA,"self deceive deceive edge_of_the_knife","刃",3,1,2858,"0.001477%",0.732971429824829,1,7.95787735848981,"G1","L2","false"
44,"sameT",4.691,NA,1,NA,"自欺欺壬","zi4 qi1 qi1 ren2",NA,NA,"self deceive deceive ninth","壬",4,2,564,"0.000291%",0.772993445396423,1,6.33505425149806,"G1","L3","false"
45,"corr",4.85,4.686,1,0.667,"自言自语","zi4 yan2 zi4 yu3","zì yán zì yǔ","think out loud","self talk self speech","语",9,NA,82805,"0.042792%",NA,0,11.3242437250236,"G3","L2","true"
45,"diffT",4.85,NA,1,NA,"自言自鱼","zi4 yan2 zi4 yu2",NA,NA,"self talk self fish","鱼",8,-1,40452,"0.020905%",0.699845641851425,0.818181818181818,10.6078713650221,"G3","L3","false"
45,"sameT",4.85,NA,1,NA,"自言自俣","zi4 yan2 zi4 yu3",NA,NA,"self talk self big","俣",9,0,197,"0.000102%",0.692597001791,0.5,5.28320372873799,"G3","L1","false"
46,"corr",4.152,3.784,0.769,0.852,"舞文弄墨","wu3 wen2 nong4 mo4","wǔ wén nòng mò","play with words","play writing manipulate ink","墨",15,NA,13959,"0.007214%",NA,0,9.54387974051276,"G1","L1","true"
46,"diffT",4.152,NA,0.769,NA,"舞文弄模","wu3 wen2 nong4 mo2",NA,NA,"play writing manipulate model","模",13,-2,54891,"0.028367%",0.706911027431488,0.625,10.9131046796327,"G1","L2","false"
46,"sameT",4.152,NA,0.769,NA,"舞文弄磨","wu3 wen2 nong4 mo4",NA,NA,"play writing manipulate grind","磨",16,1,13082,"0.006761%",0.535614401102066,0.777777777777778,9.47899251852116,"G1","L3","false"
47,"corr",4.667,4.561,1,0.889,"若隐若现","ruo4 yin3 ruo4 xian4","ruò yǐn ruò xiàn","be vague","like hide like appear","现",8,NA,433960,"0.224264%",NA,0,12.9807076429364,"G1","L1","true"
47,"diffT",4.667,NA,1,NA,"若隐若贤","ruo4 yin3 ruo4 xian2",NA,NA,"like hide like worthy","贤",8,0,7713,"0.003986%",0.58967062830925,0.857142857142857,8.950662495934,"G1","L2","false"
47,"sameT",4.667,NA,1,NA,"若隐若限","ruo4 yin3 ruo4 xian4",NA,NA,"like hide like limit","限",8,0,66018,"0.034117%",0.602127015590668,0.8,11.097682711098,"G1","L3","false"
48,"corr",4.91,4.305,1,0.926,"见义勇为","jian4 yi4 yong3 wei2","jiàn yì yǒng wéi","to be brave","see justice brave act","为",4,NA,1039036,"0.536958%",NA,0,13.8538039181818,"G2","L3","true"
48,"diffT",4.91,NA,1,NA,"见义勇未","jian4 yi4 yong3 wei4",NA,NA,"see justice brave not_yet","未",5,1,110491,"0.057100%",0.576941460371017,1,11.6126893486591,"G2","L1","false"
48,"sameT",4.91,NA,1,NA,"见义勇韦","jian4 yi4 yong3 wei2",NA,NA,"see justice brave leather","韦",4,0,10882,"0.005624%",0.763003572821617,1,9.29486532704587,"G2","L2","false"
49,"corr",4.632,4.439,0.867,0.704,"谈天说地","tan2 tian1 shuo1 di4","tán tiān shuō dì","talk of everything","say sky say earth","地",6,NA,969349,"0.500945%",NA,0,13.7843799911477,"G3","L2","true"
49,"diffT",4.632,NA,0.867,NA,"谈天说邸","tan2 tian1 shuo1 di3",NA,NA,"say sky say residence","邸",7,1,1521,"0.000786%",0.837331354618073,0.6,7.32712329225929,"G3","L3","false"
49,"sameT",4.632,NA,0.867,NA,"谈天说弟","tan2 tian1 shuo1 di4",NA,NA,"say sky say little brother","弟",7,1,42706,"0.022070%",0.723620921373367,0.833333333333333,10.6620947045679,"G3","L1","false"
5,"corr",4.63,4.784,1,0.704,"冰天雪地","bing1 tian1 xue3 di4","bīng tiān xuě dì","Very cold","ice sky snow earth","地",6,NA,969349,"0.500945%",NA,0,13.7843799911477,"G1","L1","true"
5,"diffT",4.63,NA,1,NA,"冰天雪邸","bing1 tian1 xue3 di3",NA,NA,"ice sky snow residence","邸",7,1,1521,"0.000786%",0.837331354618073,0.6,7.32712329225929,"G1","L2","false"
5,"sameT",4.63,NA,1,NA,"冰天雪弟","bing1 tian1 xue3 di4",NA,NA,"ice sky snow little brother","弟",7,1,42706,"0.022070%",0.723620921373367,0.833333333333333,10.6620947045679,"G1","L3","false"
50,"corr",4.739,4.784,1,0.852,"赏心悦目","shang3 xin1 yue4 mu4","shǎng xīn yuè mù","nice to hear","appreciate heart return eye","目",5,NA,180827,"0.093449%",NA,0,12.1052960520738,"G1","L1","true"
50,"diffT",4.739,NA,1,NA,"赏心悦母","shang3 xin1 yue4 mu3",NA,NA,"appreciate heart return mother","母",5,0,71462,"0.036930%",0.625924855470657,1,11.1769211188712,"G1","L2","false"
50,"sameT",4.739,NA,1,NA,"赏心悦木","shang3 xin1 yue4 mu4",NA,NA,"appreciate heart return tree","木",4,-1,54433,"0.028130%",0.552642494440079,1,10.904725866573,"G1","L3","false"
51,"corr",4.621,4.109,1,0.704,"铺天盖地","pu1 tian1 gai4 di4","pū tiān gài dì","spread everywhere","spread sky cover soil","地",6,NA,969349,"0.500945%",NA,0,13.7843799911477,"G1","L1","true"
51,"diffT",4.621,NA,1,NA,"铺天盖籴","pu1 tian1 gai4 di3",NA,NA,"spread sky cover buy grain","籴",8,2,106,"0.000055%",0.783965408802032,0.75,4.66343909411207,"G1","L2","false"
51,"sameT",4.621,NA,1,NA,"铺天盖帝","pu1 tian1 gai4 di4",NA,NA,"spread sky cover emperor","帝",9,3,66035,"0.034126%",0.83277328312397,0.75,11.0979401834779,"G1","L3","false"
52,"corr",4.674,3.059,0.769,0.741,"风花雪月","feng1 hua1 xue3 yue4","fēng huā xuě yuè","romantic","wind flower snow moon","月",4,NA,240566,"0.124321%",NA,0,12.3907497591538,"G3","L2","true"
52,"diffT",4.674,NA,0.769,NA,"风花雪曰","feng1 hua1 xue3 yue1",NA,NA,"wind flower snow speak","曰",4,0,11075,"0.005723%",0.736825913190842,1,9.31244559491334,"G3","L3","false"
52,"sameT",4.674,NA,0.769,NA,"风花雪乐","feng1 hua1 xue3 yue4",NA,NA,"wind flower snow music","乐",5,1,64965,"0.033573%",0.661362200975418,1,11.0816039423168,"G3","L1","false"
53,"corr",4.475,3.957,1,0.926,"风起云涌","feng1 qi3 yun2 yong3","fēng qǐ yún yǒng","largely spread phenomena","wind rise cloud emerge","涌",10,NA,11228,"0.005802%",NA,0,9.32616593748177,"G3","L2","true"
53,"diffT",4.475,NA,1,NA,"风起云庸","feng1 qi3 yun2 yong1",NA,NA,"wind rise cloud common","庸",11,1,5835,"0.003015%",0.69390943646431,1,8.67162954472066,"G3","L3","false"
53,"sameT",4.475,NA,1,NA,"风起云勇","feng1 qi3 yun2 yong3",NA,NA,"wind rise cloud brave","勇",9,-1,21819,"0.011276%",0.673902928829193,0.375,9.99053642882265,"G3","L1","false"
54,"corr",4.735,4.647,1,0.852,"齐心协力","qi2 xin1 xie2 li4","qí xīn xié lì","work together","together heart cooperate power","力",2,NA,359136,"0.185596%",NA,0,12.791456425816,"G3","L2","true"
54,"diffT",4.735,NA,1,NA,"齐心协礼","qi2 xin1 xie2 li3",NA,NA,"together heart cooperate gift","礼",5,3,35612,"0.018404%",0.672346770763397,1,10.4804379386936,"G3","L3","false"
54,"sameT",4.735,NA,1,NA,"齐心协立","qi2 xin1 xie2 li4",NA,NA,"together heart cooperate stand","立",5,3,204985,"0.105933%",0.60686981678009,1,12.2306920847117,"G3","L1","false"
6,"corr",4.67,4.293,1,0.815,"千方百计","qian1 fang1 bai3 ji4","qiān fāng bǎi jì","Try everything","thousand methods hundred plans","计",4,NA,171949,"0.088861%",NA,0,12.0549532001994,"G1","L1","true"
6,"diffT",4.67,NA,1,NA,"千方百吉","qian1 fang1 bai3 ji2",NA,NA,"thousand methods hundred lucky","吉",6,2,40081,"0.020713%",0.636153876781464,0.75,10.5986576855473,"G1","L2","false"
6,"sameT",4.67,NA,1,NA,"千方百忌","qian1 fang1 bai3 ji4",NA,NA,"thousand methods hundred fear","忌",7,3,7938,"0.004102%",0.640032649040222,1,8.97941663334301,"G1","L3","false"
7,"corr",4.825,4.439,1,0.593,"原汁原味","yuan2 zhi1 yuan2 wei4","yuán zhī yuán wèi","Authentic","original juice original taste","味",8,NA,40704,"0.021035%",NA,0,10.6140816466998,"G2","L3","true"
7,"diffT",4.825,NA,1,NA,"原汁原违","yuan2 zhi1 yuan2 wei2",NA,NA,"original juice original disobey","违",7,-1,22751,"0.011757%",0.673227787017822,1,10.032364379457,"G2","L1","false"
7,"sameT",4.825,NA,1,NA,"原汁原畏","yuan2 zhi1 yuan2 wei4",NA,NA,"original juice original fear","畏",9,1,6722,"0.003474%",0.626778274774551,1,8.81314100828505,"G2","L2","false"
8,"corr",4.737,4.737,0.867,0.63,"反腐倡廉","fan3 fu3 chang4 lian2","fǎn fǔ chàng lián","Fight against corruption","contrast corruption promote honesty","廉",13,NA,8854,"0.004576%",NA,0,9.08862461329209,"G1","L1","true"
8,"diffT",4.737,NA,0.867,NA,"反腐倡链","fan3 fu3 chang4 lian4",NA,NA,"contrast corruption promote chain","链",12,-1,6223,"0.003216%",0.763892531394958,1,8.73600738456922,"G1","L2","false"
8,"sameT",4.737,NA,0.867,NA,"反腐倡联","fan3 fu3 chang4 lian2",NA,NA,"contrast corruption promote ally","联",12,-1,120301,"0.062170%",0.526011526584625,0.625,11.6977522144802,"G1","L3","false"
9,"corr",4.074,3.431,0.923,0.815,"叹为观止","tan4 wei2 guan1 zhi3","tàn wéi guān zhǐ","To admire something","sigh consider see stop","止",4,NA,68082,"0.035184%",NA,0,11.128468140019,"G1","L1","true"
9,"diffT",4.074,NA,0.923,NA,"叹为观汁","tan4 wei2 guan1 zhi1",NA,NA,"sigh consider see juice","汁",5,1,3564,"0.001842%",0.760334640741348,1,8.1786387885907,"G1","L2","false"
9,"sameT",4.074,NA,0.923,NA,"叹为观旨","tan4 wei2 guan1 zhi3",NA,NA,"sigh consider see purpose","旨",6,2,10590,"0.005473%",0.733427315950394,1,9.26766543859545,"G1","L3","false"
1,"corr",4.711,4.646,1,0.407,"一心一意","yi1 xin1 yi1 yi4","yī xīn yī yì","Wholeheartedly","one heart one mind","意",13,NA,360232,"0.186163%",NA,0,12.7945035473116,"G4","L4","true"
1,"noP",4.711,NA,1,NA,"一心一酸","yi1 xin1 yi1 suan1",NA,NA,"one heart one sour","酸",14,1,14855,"0.007677%",0.594253271818161,1,9.60609178789671,"G4","L5","false"
1,"sameT",4.711,NA,1,NA,"一心一裔","yi1 xin1 yi1 yi4",NA,NA,"one heart one posterity/descendants","裔",13,0,2350,"0.001214%",0.636198043823242,0.555555555555556,7.7621706071382,"G4","L6","false"
10,"corr",4.505,3.768,1,0.704,"咬牙切齿","yao3 ya2 qie4 chi3","yǎo yá qiè chǐ","To be furious","bite mouth tighten teeth","齿",8,NA,9415,"0.004866%",NA,0,9.15005944109125,"G6","L5","true"
10,"noP",4.505,NA,1,NA,"咬牙切莉","yao3 ya2 qie4 li4",NA,NA,"bite mouth tighten jasmine","莉",10,2,8289,"0.004284%",0.67440602183342,1,9.02268461359153,"G6","L6","false"
10,"sameT",4.505,NA,1,NA,"咬牙切侈","yao3 ya2 qie4 chi3",NA,NA,"bite mouth tighten extravagant","侈",8,0,1703,"0.000880%",0.583285301923752,1,7.44014668066269,"G6","L4","false"
11,"corr",4.641,3.712,1,0.667,"因地制宜","yin1 di4 zhi4 yi2","yīn dì zhì yí","Best according to circumstances","depending earth establish best","宜",8,NA,18833,"0.009733%",NA,0,9.84336592919475,"G4","L4","true"
11,"noP",4.641,NA,1,NA,"因地制诃","yin1 di4 zhi4 he1",NA,NA,"depending earth establish scold","诃",8,0,814,"0.000421%",0.694269895553589,0.8,6.70196036600254,"G4","L5","false"
11,"sameT",4.641,NA,1,NA,"因地制怡","yin1 di4 zhi4 yi2",NA,NA,"depending earth establish harmony","怡",8,0,3649,"0.001886%",0.639594346284866,0.75,8.20220843643645,"G4","L6","false"
12,"corr",4.85,4.257,1,0.444,"大吃一惊","da4 chi1 yi1 jing1","dà chī yī jīng","To be surprised","big eat one shock","惊",11,NA,59724,"0.030864%",NA,0,10.9974892286466,"G6","L5","true"
12,"noP",4.85,NA,1,NA,"大吃一绳","da4 chi1 yi1 shen2",NA,NA,"big eat one rope","绳",11,0,7256,"0.003750%",0.745548665523529,0.6,8.88958399179497,"G6","L6","false"
12,"sameT",4.85,NA,1,NA,"大吃一晶","da4 chi1 yi1 jing1",NA,NA,"big eat one crystal","晶",12,1,10038,"0.005187%",0.710692077875137,0.846153846153846,9.21413317021488,"G6","L4","false"
13,"corr",4.848,4.765,1,0.741,"大同小异","da4 tong2 xiao3 yi4","dà tóng xiǎo yì","Similar","big equal small different","异",6,NA,52735,"0.027253%",NA,0,10.8730346507107,"G4","L4","true"
13,"noP",4.848,NA,1,NA,"大同小母","da4 tong2 xiao3 mu3",NA,NA,"big equal small mother","母",5,-1,71462,"0.036930%",0.554576516151428,1,11.1769211188712,"G4","L5","false"
13,"sameT",4.848,NA,1,NA,"大同小亦","da4 tong2 xiao3 yi4",NA,NA,"big equal small also","亦",6,0,37960,"0.019617%",0.503051906824112,0.6,10.5442882527239,"G4","L6","false"
14,"corr",4.598,4.671,1,0.667,"天涯海角","tian1 ya2 hai3 jiao3","tiān yá hǎi jiǎo","Opposites","sky edge sea corner","角",7,NA,50081,"0.025881%",NA,0,10.8213969736257,"G5","L6","true"
14,"noP",4.598,NA,1,NA,"天涯海重","tian1 ya2 hai3 zhong4",NA,NA,"sky edge sea heavy","重",9,2,282843,"0.146169%",0.664413660764694,1,12.5526472523654,"G5","L4","false"
14,"sameT",4.598,NA,1,NA,"天涯海狡","tian1 ya2 hai3 jiao3",NA,NA,"sky edge sea crafty","狡",9,2,2971,"0.001535%",0.691152095794678,1,7.99665387546261,"G5","L5","false"
15,"corr",4.391,3.922,1,0.852,"如火如荼","ru2 huo3 ru2 tu2","rú huǒ rú tú","Full expansion","like fire like grass","荼",10,NA,616,"0.000318%",NA,0,6.42324696353352,"G4","L4","true"
15,"noP",4.391,NA,1,NA,"如火如诃","ru2 huo3 ru2 he1",NA,NA,"like fire like scold","诃",8,-2,814,"0.000421%",0.428925037384033,0.714285714285714,6.70196036600254,"G4","L5","false"
15,"sameT",4.391,NA,1,NA,"如火如徒","ru2 huo3 ru2 tu2",NA,NA,"like fire like apprentice","徒",10,0,27812,"0.014373%",0.57129693031311,0.571428571428571,10.2332228612189,"G4","L6","false"
16,"corr",4.706,4.412,1,0.704,"安居乐业","an1 ju1 le4 ye4","ān jū lè yè","To live peacefully","peacefully live enjoy work","业",5,NA,296169,"0.153056%",NA,0,12.5986855163245,"G4","L4","true"
16,"noP",4.706,NA,1,NA,"安居乐吉","an1 ju1 le4 ji2",NA,NA,"peacefully live enjoy lucky","吉",6,1,40081,"0.020713%",0.578791707754135,0.5,10.5986576855473,"G4","L5","false"
16,"sameT",4.706,NA,1,NA,"安居乐叶","an1 ju1 le4 ye4",NA,NA,"peacefully live enjoy leaf","叶",5,0,36032,"0.018621%",0.742207795381546,1,10.4921627114994,"G4","L6","false"
17,"corr",4.662,4.294,1,0.815,"对症下药","dui4 zheng4 xia4 yao4","duì zhèng xià yào","To treat something","regarding disease give medicine","药",9,NA,59090,"0.030537%",NA,0,10.9868169843397,"G5","L6","true"
17,"noP",4.662,NA,1,NA,"对症下语","dui4 zheng4 xia4 yu3",NA,NA,"regarding disease give  speech","语",9,0,82805,"0.042792%",0.718818664550781,0.857142857142857,11.3242437250236,"G5","L4","false"
17,"sameT",4.662,NA,1,NA,"对症下钥","dui4 zheng4 xia4 yao4",NA,NA,"regarding disease give key","钥",9,0,3772,"0.001949%",0.742361754179001,0.8,8.23536064375335,"G5","L5","false"
18,"corr",4.734,4.525,1,0.667,"应有尽有","ying1 you3 jin4 you3","yīng yǒu jìn yǒu","Everything at its place","should exist everything exist","有",6,NA,1782004,"0.920913%",NA,0,14.3932491316793,"G4","L4","true"
18,"noP",4.734,NA,1,NA,"应有尽收","ying1 you3 jin4 shou1",NA,NA,"should exist everything receive","收",6,0,120897,"0.062478%",0.624532520771027,1,11.7026942223992,"G4","L5","false"
18,"sameT",4.734,NA,1,NA,"应有尽卣","ying1 you3 jin4 you3",NA,NA,"should exist everything winecontainer","卣",7,1,118,"0.000061%",0.758187279105186,1,4.77068462446567,"G4","L6","false"
19,"corr",4.742,4.72,1,0.741,"弄虚作假","nong4 xu1 zuo4 jia3","nòng xū zuò jiǎ","Lie","do fake create mischievous","假",11,NA,62691,"0.032398%",NA,0,11.0459731756482,"G4","L4","true"
19,"noP",4.742,NA,1,NA,"弄虚作缘","nong4 xu1 zuo4 yuan2",NA,NA,"do fake create fate","缘",12,1,19330,"0.009989%",0.734669387340546,0.8,9.86941357220238,"G4","L5","false"
19,"sameT",4.742,NA,1,NA,"弄虚作胛","nong4 xu1 zuo4 jia3",NA,NA,"do fake create shoulder_blade","胛",9,-2,247,"0.000128%",0.827888399362564,0.75,5.50938833662798,"G4","L6","false"
2,"corr",4.735,4.333,0.692,0.407,"不知不觉","bu4 zhi1 bu4 jue2","bù zhī bù jué","Without realizing","not know not notice","觉",9,NA,132041,"0.068237%",NA,0,11.790867759401,"G5","L6","true"
2,"noP",4.735,NA,0.692,NA,"不知不药","bu4 zhi1 bu4 yao4",NA,NA,"not know not medicine","药",9,0,59090,"0.030537%",0.634170442819595,1,10.9868169843397,"G5","L4","false"
2,"sameT",4.735,NA,0.692,NA,"不知不珏","bu4 zhi1 bu4 jue2",NA,NA,"not know not jade","珏",9,0,172,"0.000089%",0.681798189878464,1,5.14749447681345,"G5","L5","false"
20,"corr",4.449,3.559,1,0.889,"引人入胜","yin3 ren2 ru4 sheng4","yǐn rén rù shèng","Mesmerize people with beauty","lure person enter splendor","胜",9,NA,49565,"0.025614%",NA,0,10.811040218467,"G4","L4","true"
20,"noP",4.449,NA,1,NA,"引人入梨","yin3 ren2 ru4 li2",NA,NA,"lure person enter pear","梨",11,2,1884,"0.000974%",0.763097256422043,0.8,7.54115245513631,"G4","L5","false"
20,"sameT",4.449,NA,1,NA,"引人入盛","yin3 ren2 ru4 sheng4",NA,NA,"lure person enter prosperous","盛",11,2,24387,"0.012603%",0.673486858606339,1,10.1018054824147,"G4","L6","false"
21,"corr",4.707,3.908,1,0.778,"得心应手","de2 xin1 ying4 shou3","dé xīn yìng shǒu","Do something with skills","obtain heart adapt hand","手",4,NA,280442,"0.144928%",NA,0,12.5441222089457,"G6","L5","true"
21,"noP",4.707,NA,1,NA,"得心应爷","de2 xin1 ying4 ye2",NA,NA,"obtain heart adapt grandpa","爷",6,2,30930,"0.015984%",0.673279941082001,1,10.3394818656791,"G6","L6","false"
21,"sameT",4.707,NA,1,NA,"得心应守","de2 xin1 ying4 shou3",NA,NA,"obtain heart adapt guard","守",6,2,44264,"0.022875%",0.62212410569191,1,10.6979269845779,"G6","L4","false"
22,"corr",4.632,4.294,1,0.704,"心平气和","xin1 ping2 qi4 he2","xīn píng qì hé","Peaceful attitude","heart quiet breath peaceful","和",8,NA,1010465,"0.522193%",NA,0,13.8259211789073,"G5","L6","true"
22,"noP",4.632,NA,1,NA,"心平气帜","xin1 ping2 qi4 zhi4",NA,NA,"heart quiet breath flag","帜",8,0,2452,"0.001267%",0.843260437250137,0.4,7.8046592970561,"G5","L4","false"
22,"sameT",4.632,NA,1,NA,"心平气河","xin1 ping2 qi4 he2",NA,NA,"heart quiet breath river","河",8,0,69687,"0.036013%",0.685842543840408,0.5,11.1517690657229,"G5","L5","false"
23,"corr",4.615,4.085,1,0.963,"心旷神怡","xin1 kuang4 shen2 yi2","xīn kuàng shén yí","Full of joy","heart free spirit harmonious","怡",8,NA,3649,"0.001886%",NA,0,8.20220843643645,"G5","L6","true"
23,"noP",4.615,NA,1,NA,"心旷神吓","xin1 kuang4 shen2 he4",NA,NA,"heart free spirit scare","吓",6,-2,14620,"0.007555%",0.709402143955231,0.6,9.59014573330377,"G5","L4","false"
23,"sameT",4.615,NA,1,NA,"心旷神夷","xin1 kuang4 shen2 yi2",NA,NA,"heart free spirit barbarians","夷",6,-2,4638,"0.002397%",0.626404762268066,1,8.44203851781548,"G5","L5","false"
24,"corr",4.828,4.492,1,0.519,"心满意足","xin1 man3 yi4 zu2","xīn mǎn yì zú","Happy in the heart","heart full desire enough","足",7,NA,77385,"0.039991%",NA,0,11.2565482423469,"G4","L4","true"
24,"noP",4.828,NA,1,NA,"心满意卣","xin1 man3 yi4 you3",NA,NA,"heart full desire wine container","卣",7,0,118,"0.000061%",0.733409702777863,0.75,4.77068462446567,"G4","L5","false"
24,"sameT",4.828,NA,1,NA,"心满意卒","xin1 man3 yi4 zu2",NA,NA,"heart full desire soldier","卒",8,1,3306,"0.001708%",0.634344041347504,0.833333333333333,8.10349427838097,"G4","L6","false"
25,"corr",4.753,4.671,1,0.63,"心甘情愿","xin1 gan1 qing2 yuan4","xīn gān qíng yuàn","Do something with passion","heart sweet emotion will","愿",14,NA,67915,"0.035097%",NA,0,11.1260122022566,"G4","L4","true"
25,"noP",4.753,NA,1,NA,"心甘情联","xin1 gan1 qing2 lian2",NA,NA,"heart sweet emotion ally","联",12,-2,120301,"0.062170%",0.653144329786301,1,11.6977522144802,"G4","L5","false"
25,"sameT",4.753,NA,1,NA,"心甘情媛","xin1 gan1 qing2 yuan4",NA,NA,"heart sweet emotion beautiful_woman","媛",12,-2,535,"0.000276%",0.71532329916954,0.866666666666667,6.28226674689601,"G4","L6","false"
26,"corr",4.813,4.6,1,0.889,"志同道合","zhi4 tong2 dao4 he2","zhì tóng dào hé","To have the same principles","will same road align","合",6,NA,239277,"0.123655%",NA,0,12.3853771556124,"G4","L4","true"
26,"noP",4.813,NA,1,NA,"志同道亦","zhi4 tong2 dao4 yi4",NA,NA,"will same road also","亦",6,0,37960,"0.019617%",0.535762548446655,0.4,10.5442882527239,"G4","L5","false"
26,"sameT",4.813,NA,1,NA,"志同道何","zhi4 tong2 dao4 he2",NA,NA,"will same road carry","何",7,1,184335,"0.095262%",0.647450953722,0.5,12.1245100333868,"G4","L6","false"
27,"corr",4.679,3.847,1,0.741,"情有独钟","qing2 you3 du2 zhong1","qíng yǒu dú zhōng","Attraction","love have only concentrate","钟",9,NA,36770,"0.019002%",NA,0,10.5124375742953,"G6","L5","true"
27,"noP",4.679,NA,1,NA,"情有独珏","qing2 you3 du2 jue2",NA,NA,"love have only jade","珏",9,0,172,"0.000089%",0.633807599544525,0.888888888888889,5.14749447681345,"G6","L6","false"
27,"sameT",4.679,NA,1,NA,"情有独衷","qing2 you3 du2 zhong1",NA,NA,"love have only innerfeelings","衷",10,1,5781,"0.002988%",0.577591061592102,0.538461538461538,8.66233195708248,"G6","L4","false"
28,"corr",4.66,4.268,1,0.815,"惊天动地","jing1 tian1 dong4 di4","jīng tiān dòng dì","Huge impact","shock sky move ground","地",6,NA,969349,"0.500945%",NA,0,13.7843799911477,"G5","L6","true"
28,"noP",4.66,NA,1,NA,"惊天动违","jing1 tian1 dong4 wei2",NA,NA,"shock sky move disobey","违",7,1,22751,"0.011757%",0.754380196332932,1,10.032364379457,"G5","L4","false"
28,"sameT",4.66,NA,1,NA,"惊天动弟","jing1 tian1 dong4 di4",NA,NA,"shock sky move littlebrother","弟",7,1,42706,"0.022070%",0.723620921373367,0.833333333333333,10.6620947045679,"G5","L5","false"
29,"corr",4.731,3.915,1,0.815,"我行我素","wo3 xing2 wo3 su4","wǒ xíng wǒ sù","Not care about people's opinions","me walk me essence","素",10,NA,59100,"0.030542%",NA,0,10.9869862033942,"G5","L6","true"
29,"noP",4.731,NA,1,NA,"我行我姚","wo3 xing2 wo3 yao2",NA,NA,"me walk me handsome","姚",9,-1,4806,"0.002484%",0.559463769197464,0.8,8.47762041629641,"G5","L4","false"
29,"sameT",4.731,NA,1,NA,"我行我速","wo3 xing2 wo3 su4",NA,NA,"me walk me fast","速",10,0,65094,"0.033640%",0.596226394176483,1,11.0835876580505,"G5","L5","false"
3,"corr",4.574,4.373,1,0.704,"全心全意","quan2 xin1 quan2 yi4","quán xīn quán yì","With great purpose","all heart all mind","意",13,NA,360232,"0.186163%",NA,0,12.7945035473116,"G5","L6","true"
3,"noP",4.574,NA,1,NA,"全心全酸","quan2 xin1 quan2 suan1",NA,NA,"all heart all sour","酸",14,1,14855,"0.007677%",0.594253271818161,1,9.60609178789671,"G5","L4","false"
3,"sameT",4.574,NA,1,NA,"全心全裔","quan2 xin1 quan2 yi4",NA,NA,"all heart all posterity/descendants","裔",13,0,2350,"0.001214%",0.636198043823242,0.555555555555556,7.7621706071382,"G5","L5","false"
30,"corr",4.443,2.805,1,0.852,"扑朔迷离","pu1 shuo4 mi2 li2","pū shuò mí lí","not able to tell with certainty","jump male uncertain distinguish","离",10,NA,100744,"0.052063%",NA,0,11.5203379246857,"G6","L5","true"
30,"noP",4.443,NA,1,NA,"扑朔迷素","pu1 shuo4 mi2 su4",NA,NA,"jump male uncertain essence","素",10,0,59100,"0.030542%",0.814276620745659,0.666666666666667,10.9869862033942,"G6","L6","false"
30,"sameT",4.443,NA,1,NA,"扑朔迷梨","pu1 shuo4 mi2 li2",NA,NA,"jump male uncertain pear","梨",11,1,1884,"0.000974%",0.771393015980721,0.777777777777778,7.54115245513631,"G6","L4","false"
31,"corr",4.759,4.05,0.909,0.667,"日新月异","ri4 xin1 yue4 yi4","rì xīn yuè yì","change day after day","sun new moon different","异",6,NA,52735,"0.027253%",NA,0,10.8730346507107,"G5","L6","true"
31,"noP",4.759,NA,0.909,NA,"日新月汁","ri4 xin1 yue4 zhi1",NA,NA,"sun new moon juice","汁",5,-1,3564,"0.001842%",0.671718776226044,1,8.1786387885907,"G5","L4","false"
31,"sameT",4.759,NA,0.909,NA,"日新月亦","ri4 xin1 yue4 yi4",NA,NA,"sun new moon also","亦",6,0,37960,"0.019617%",0.503051906824112,0.6,10.5442882527239,"G5","L5","false"
32,"corr",4.543,3.235,0.538,0.889,"有的放矢","you3 de5 fang4 shi3","yǒu de fàng shǐ","to have a precise goal","have target throw arrow","矢",5,NA,2466,"0.001274%",NA,0,7.81035268372429,"G6","L5","true"
32,"noP",4.543,NA,0.538,NA,"有的放叶","you3 de5 fang4 ye4",NA,NA,"have target throw leaf","叶",5,0,36032,"0.018621%",0.66441348195076,1,10.4921627114994,"G6","L6","false"
32,"sameT",4.543,NA,0.538,NA,"有的放史","you3 de5 fang4 shi3",NA,NA,"have target throw history","史",5,0,90469,"0.046753%",0.736730813980103,1,11.4127625295708,"G6","L4","false"
33,"corr",4.256,3.898,0.75,0.963,"标本兼治","biao1 ben3 jian1 zhi4","biāo běn jiān zhì","deal with multiple problems","surface root together treat","治",8,NA,156904,"0.081086%",NA,0,11.9633894323413,"G5","L6","true"
33,"noP",4.256,NA,0.75,NA,"标本兼鱼","biao1 ben3 jian1 yu2",NA,NA,"surface root together fish","鱼",8,0,40452,"0.020905%",0.698346316814423,1,10.6078713650221,"G5","L4","false"
33,"sameT",4.256,NA,0.75,NA,"标本兼质","biao1 ben3 jian1 zhi4",NA,NA,"surface root together question","质",8,0,104560,"0.054035%",0.636192739009857,0.8,11.5575163482981,"G5","L5","false"
