Item,Condition,Familiarity,Compositionality,Predictability,Register,Spelling,Pin_yin,Ur_Pinyin,Fig_Transl,Lit_Transl,Last_char,Strokes,StrokeDiff,Sem_Distance,Levenshtein_Distance
45,diffT,485,NA,1,NA,自言自鱼,zi4 yan2 zi4 yu2,NA,NA,self talk self fish,鱼,8,1.0,0.837331354618073,0.8181818181818182
45,sameT,485,NA,1,NA,自言自俣,zi4 yan2 zi4 yu3,NA,NA,self talk self big,俣,9,0.0,0.723620891571045,0.5
45,noP,485,NA,1,NA,自言自胜,zi4 yan2 zi4 sheng4,NA,NA,self talk self splendor,胜,9,0.0,0.699114978313446,0.8
46,corr,4152,3.784,769,0.852,舞文弄墨,wu3 wen2 nong4 mo4,wǔ wén nòng mò,play with words,play writing manipulate ink,墨,15,NA,NA,0.0
46,diffT,4152,NA,769,NA,舞文弄模,wu3 wen2 nong4 mo2,NA,NA,play writing manipulate model,模,13,2.0,0.625924825668335,0.625
46,sameT,4152,NA,769,NA,舞文弄磨,wu3 wen2 nong4 mo4,NA,NA,play writing manipulate grind,磨,16,-1.0,0.552642464637756,0.7777777777777778
46,noP,4152,NA,769,NA,舞文弄酸,wu3 wen2 nong4 suan1,NA,NA,play writing manipulate sour,酸,14,0.0,0.7069944143295288,1.0
47,corr,4667,4.561,1,0.889,若隐若现,ruo4 yin3 ruo4 xian4,ruò yǐn ruò xiàn,be vague,like hide like appear,现,8,NA,NA,0.0
47,diffT,4667,NA,1,NA,若隐若贤,ruo4 yin3 ruo4 xian2,NA,NA,like hide like worthy,贤,8,0.0,0.783965408802032,0.8571428571428571
47,sameT,4667,NA,1,NA,若隐若限,ruo4 yin3 ruo4 xian4,NA,NA,like hide like limit,限,8,0.0,0.8327733,0.8
47,noP,4667,NA,1,NA,若隐若侈,ruo4 yin3 ruo4 chi3,NA,NA,like hide like extravagant,侈,8,0.0,0.727363109588623,0.75
48,corr,491,4.305,1,0.926,见义勇为,jian4 yi4 yong3 wei2,jiàn yì yǒng wéi,to be brave,see justice brave act,为,4,NA,NA,0.0
48,diffT,491,NA,1,NA,见义勇未,jian4 yi4 yong3 wei4,NA,NA,see justice brave not_yet,未,5,-1.0,0.736825942993164,1.0
48,sameT,491,NA,1,NA,见义勇韦,jian4 yi4 yong3 wei2,NA,NA,see justice brave leather,韦,4,0.0,0.661362171173096,1.0
48,noP,491,NA,1,NA,见义勇月,jian4 yi4 yong3 yue4,NA,NA,see justice brave moon,月,4,0.0,0.6565361022949219,1.0
49,corr,4632,4.439,867,0.704,谈天说地,tan2 tian1 shuo1 di4,tán tiān shuō dì,talk of everything,say sky say earth,地,6,NA,NA,0.0
49,diffT,4632,NA,867,NA,谈天说邸,tan2 tian1 shuo1 di3,NA,NA,say sky say residence,邸,7,-1.0,0.693909406661987,0.6
49,sameT,4632,NA,867,NA,谈天说弟,tan2 tian1 shuo1 di4,NA,NA,say sky say little brother,弟,7,-1.0,0.673902928829193,0.8333333333333334
49,noP,4632,NA,867,NA,谈天说旨,tan2 tian1 shuo1 zhi3,NA,NA,say sky say purpose,旨,6,0.0,0.7892003059387207,0.8
50,corr,4739,4.784,1,0.852,赏心悦目,shang3 xin1 yue4 mu4,shǎng xīn yuè mù,nice to hear,appreciate heart return eye,目,5,NA,NA,0.0
50,diffT,4739,NA,1,NA,赏心悦母,shang3 xin1 yue4 mu3,NA,NA,appreciate heart return mother,母,5,0.0,0.672346711158752,1.0
50,sameT,4739,NA,1,NA,赏心悦木,shang3 xin1 yue4 mu4,NA,NA,appreciate heart return tree,木,4,1.0,0.60686981678009,1.0
50,noP,4739,NA,1,NA,赏心悦仪,shang3 xin1 yue4 yi2,NA,NA,appreciate heart return ceremony,仪,5,0.0,0.6642671823501587,1.0
51,corr,4621,4.109,1,0.704,铺天盖地,pu1 tian1 gai4 di4,pū tiān gài dì,spread everywhere,spread sky cover soil,地,6,NA,NA,0.0
51,diffT,4621,NA,1,NA,铺天盖籴,pu1 tian1 gai4 di3,NA,NA,spread sky cover buy grain,籴,8,-1.0,0.636153936386108,0.75
51,sameT,4621,NA,1,NA,铺天盖帝,pu1 tian1 gai4 di4,NA,NA,spread sky cover emperor,帝,9,-3.0,0.640032649040222,0.75
51,noP,4621,NA,1,NA,铺天盖夷,pu1 tian1 gai4 yi2,NA,NA,spread sky cover barbarians,夷,6,0.0,0.7515331655740738,0.8
52,corr,4674,3.059,769,0.741,风花雪月,feng1 hua1 xue3 yue4,fēng huā xuě yuè,romantic,wind flower snow moon,月,4,NA,NA,0.0
52,diffT,4674,NA,769,NA,风花雪曰,feng1 hua1 xue3 yue1,NA,NA,wind flower snow speak,曰,4,0.0,0.673227787017822,1.0
52,sameT,4674,NA,769,NA,风花雪乐,feng1 hua1 xue3 yue4,NA,NA,wind flower snow music,乐,5,-1.0,0.626778244972229,1.0
52,noP,4674,NA,769,NA,风花雪止,feng1 hua1 xue3 zhi3,NA,NA,wind flower snow stop,止,4,0.0,0.5455586910247803,1.0
53,corr,4475,3.957,1,0.926,风起云涌,feng1 qi3 yun2 yong3,fēng qǐ yún yǒng,largely spread phenomena,wind rise cloud emerge,涌,10,NA,NA,0.0
53,diffT,4475,NA,1,NA,风起云庸,feng1 qi3 yun2 yong1,NA,NA,wind rise cloud common,庸,11,-1.0,0.763892531394958,1.0
53,sameT,4475,NA,1,NA,风起云勇,feng1 qi3 yun2 yong3,NA,NA,wind rise cloud brave,勇,9,1.0,0.526011526584625,0.375
53,noP,4475,NA,1,NA,风起云莉,feng1 qi3 yun2 li4,NA,NA,wind rise cloud jasmine,莉,10,0.0,0.7305909693241119,0.7142857142857143
54,corr,4735,4.647,1,0.852,齐心协力,qi2 xin1 xie2 li4,qí xīn xié lì,work together,together heart cooperate power,力,2,NA,NA,0.0
54,diffT,4735,NA,1,NA,齐心协礼,qi2 xin1 xie2 li3,NA,NA,together heart cooperate gift,礼,5,-3.0,0.760334610939026,1.0
54,sameT,4735,NA,1,NA,齐心协立,qi2 xin1 xie2 li4,NA,NA,together heart cooperate stand,立,5,-3.0,0.733427286148071,1.0
54,noP,4735,NA,1,NA,齐心协人,qi2 xin1 xie2 ren2,NA,NA,together heart cooperate person,人,2,0.0,0.5525619387626648,1.0
