Item,Condition,RefChar,Char,Wang_Rad,Wang_IDS,Levenshtein_Distance
25,diffT,愿,缘,纟,⿰纟⿱彑𧰨,1.0
25,sameT,愿,媛,女,⿰女⿳⿱丿𭕄一⿸𠂇又,0.8666666666666667
25,noP,愿,疑,疋,⿰⿱⿺乚丿⿱𠂉⿻一人⿱龴疋,1.0
26,corr,合,合,口,⿱⿱人一口,0.0
26,diffT,合,吓,口,⿰口⿱一卜,0.6
26,sameT,合,何,亻,⿰亻⿹⿱一亅口,0.5
26,noP,合,亦,亠,⿱⿱丶一&CDP-8CB5;,0.4
27,corr,钟,钟,钅,⿰钅⿻口丨,0.0
27,diffT,钟,重,里,重,1.0
27,sameT,钟,衷,衣,⿳⿱丶一⿻口丨𧘇,0.5384615384615384
27,noP,钟,珏,王,⿰⿱一⿱十一⿷⿱一⿱十一丶,0.8888888888888888
28,corr,地,地,土,⿰⿱十一也,0.0
28,diffT,地,邸,阝,⿰⿱氏丶阝,0.6
28,sameT,地,弟,弓,⿱丷⿹⿻弓丨丿,0.8333333333333334
28,noP,地,守,宀,⿱宀寸,0.75
29,corr,素,素,糸,⿱龶⿱⿰&CDP-895C;丶小,0.0
29,diffT,素,俗,亻,⿰亻谷,0.8
29,sameT,素,速,辶,⿺辶束,1.0
29,noP,素,涌,氵,⿰氵⿱龴⿵冂&CDP-8BF1;,0.8571428571428571
30,corr,离,离,忄,⿱⿱⿱丶一⿶凵㐅⿻冂厶,0.0
30,diffT,离,莉,艹,⿱艹⿰⿱丿木刂,0.7777777777777778
30,sameT,离,梨,木,⿱⿰⿱丿木刂木,0.7777777777777778
30,noP,离,素,糸,⿱龶⿱⿰&CDP-895C;丶小,0.6666666666666666
31,corr,异,异,廾,⿱巳⿻一&CDP-8BF5;,0.0
31,diffT,异,仪,亻,⿰亻⿶⿻丿乀丶,0.8333333333333334
31,sameT,异,亦,亠,⿱⿱丶一&CDP-8CB5;,0.6
31,noP,异,吉,口,⿱⿱十一口,0.6
32,corr,矢,矢,矢,⿱𠂉⿻一人,0.0
32,diffT,矢,石,石,⿸⿱一丿口,0.6
32,sameT,矢,史,口,史,1.0
32,noP,矢,叶,口,⿰口十,1.0
33,corr,治,治,氵,⿰氵⿱厶口,0.0
33,diffT,治,直,目,⿱十&CDP-8BA5;,0.75
33,sameT,治,质,贝,⿸𠂆⿱十贝,0.8
33,noP,治,沽,氵,⿰氵⿱十口,0.2
34,corr,固,固,囗,⿴囗⿱十口,0.0
34,diffT,固,沽,氵,⿰氵⿱十口,0.4
34,sameT,固,故,攵,⿰⿱十口攵,0.4
34,noP,固,直,目,⿱十&CDP-8BA5;,0.5
35,corr,地,地,土,⿰⿱十一也,0.0
35,diffT,地,籴,米,⿱入米,0.75
35,sameT,地,弟,弓,⿱丷⿹⿻弓丨丿,0.8333333333333334
35,noP,地,爷,父,⿱⿱八⿻丿乀卩,0.8333333333333334
36,corr,实,实,宀,⿱宀头,0.0
36,diffT,实,式,弋,⿹⿺⿻一乚丶工,1.0
36,sameT,实,时,日,⿰日寸,1.0
36,noP,实,雨,雨,⿱一⿻冂&CDP-8C41;,0.75
37,corr,余,余,人,⿱⿱人一朩,0.0
37,diffT,余,雨,雨,⿱一⿻冂&CDP-8C41;,0.6
37,sameT,余,鱼,鱼,⿳𠂊田一,0.7777777777777778
37,noP,余,邸,阝,⿰⿱氏丶阝,0.8
38,corr,帜,帜,巾,⿰巾⿱口八,0.0
38,diffT,帜,直,目,⿱十&CDP-8BA5;,0.75
38,sameT,帜,质,贝,⿸𠂆⿱十贝,0.8
38,noP,帜,终,纟,⿰纟⿱夂⿱丶丶,0.6666666666666666
39,corr,目,目,目,目,0.0
39,diffT,目,母,母,母,1.0
39,sameT,目,木,木,木,1.0
39,noP,目,汁,氵,⿰氵十,1.0
40,corr,语,语,讠,⿰讠⿱⿱一𫝀口,0.0
40,diffT,语,鱼,鱼,⿳𠂊田一,0.8181818181818182
40,sameT,语,俣,亻,⿰亻⿱口⿱一⿻一人,0.5
40,noP,语,姚,女,⿰女兆,0.8
41,corr,算,算,竹,⿱竹⿱目⿻一&CDP-8BF5;,0.0
41,diffT,算,酸,酉,⿰酉⿳厶八夂,1.0
41,sameT,算,蒜,艹,⿱艹⿰示示,0.8333333333333334
41,noP,算,疑,疋,⿰⿱⿺乚丿⿱𠂉⿻一人⿱龴疋,0.6
42,corr,味,味,口,⿰口未,0.0
42,diffT,味,违,辶,⿺辶韦,1.0
42,sameT,味,畏,田,⿳田一&CDP-8CC6;,1.0
42,noP,味,诃,讠,⿰讠⿹⿱一亅口,0.6
43,corr,终,终,纟,⿰纟⿱夂⿱丶丶,0.0
43,diffT,终,重,里,重,1.0
43,sameT,终,衷,衣,⿳⿱丶一⿻口丨𧘇,0.7333333333333333
43,noP,终,贤,贝,⿱⿰⿰丨丨又贝,0.8571428571428571
44,corr,人,人,人,人,0.0
44,diffT,人,刃,刀,⿹⿹𠃌丿丿,1.0
44,sameT,人,壬,士,⿱丿⿱十一,1.0
44,noP,人,力,力,⿻丿𠃌,1.0
45,corr,语,语,讠,⿰讠⿱⿱一𫝀口,0.0
45,diffT,语,鱼,鱼,⿳𠂊田一,0.8181818181818182
45,sameT,语,俣,亻,⿰亻⿱口⿱一⿻一人,0.5
45,noP,语,胜,月,⿰月生,0.8
46,corr,墨,墨,土,⿱⿱&CDP-88D4;灬⿱十一,0.0
46,diffT,墨,模,木,⿰木⿱艹⿱日⿻一人,0.625
46,sameT,墨,磨,石,⿸⿸广⿰木木⿸⿱一丿口,0.7777777777777778
46,noP,墨,酸,酉,⿰酉⿳厶八夂,1.0
47,corr,现,现,见,⿰⿱一⿱十一见,0.0
47,diffT,现,贤,贝,⿱⿰⿰丨丨又贝,0.8571428571428571
47,sameT,现,限,阝,⿰阝艮,0.8
47,noP,现,侈,亻,⿰亻⿱⿴𠂊丶⿴𠂊丶,0.75
48,corr,为,为,丶,为,0.0
48,diffT,为,未,木,未,1.0
48,sameT,为,韦,韦,韦,1.0
48,noP,为,月,月,月,1.0
49,corr,地,地,土,⿰⿱十一也,0.0
49,diffT,地,邸,阝,⿰⿱氏丶阝,0.6
49,sameT,地,弟,弓,⿱丷⿹⿻弓丨丿,0.8333333333333334
49,noP,地,旨,日,⿱⿺乚丿日,0.8
50,corr,目,目,目,目,0.0
50,diffT,目,母,母,母,1.0
50,sameT,目,木,木,木,1.0
50,noP,目,仪,亻,⿰亻⿶⿻丿乀丶,1.0
51,corr,地,地,土,⿰⿱十一也,0.0
51,diffT,地,籴,米,⿱入米,0.75
51,sameT,地,帝,巾,⿱&CDP-8BEC;巾,0.75
51,noP,地,夷,大,⿻⿻一人弓,0.8
52,corr,月,月,月,月,0.0
52,diffT,月,曰,曰,曰,1.0
52,sameT,月,乐,丿,乐,1.0
52,noP,月,止,止,止,1.0
53,corr,涌,涌,氵,⿰氵⿱龴⿵冂&CDP-8BF1;,0.0
53,diffT,涌,庸,广,⿸广⿻⿻&CDP-8BAB;丨月,1.0
53,sameT,涌,勇,力,⿱⿱龴⿵冂&CDP-8BF1;⿻丿𠃌,0.375
53,noP,涌,莉,艹,⿱艹⿰⿱丿木刂,0.7142857142857143
54,corr,力,力,力,⿻丿𠃌,0.0
54,diffT,力,礼,礻,⿰礻乚,1.0
54,sameT,力,立,立,⿱&CDP-8BAE;一,1.0
54,noP,力,人,人,人,1.0
