Item,Condition,Familiarity,Compositionality,Predictability,Register,Spelling,Pin_yin,Ur_Pinyin,Fig_Transl,Lit_Transl,Last_char,Strokes,StrokeDiff,Sem_Distance,Levenshtein_Distance,字符频率,字符百分比
43,noP,4632,,1,,自始至贤,zi4 shi3 zhi4 xian2,,,from beginning to worthy,贤,8,0.0,0.4592078924179077,0.8571428571428571,7713,0.003986%
44,corr,4691,4.216,1,0.852,自欺欺人,zi4 qi1 qi1 ren2,zì qī qī rén,to deceive,self deceive deceive person,人,2,,,0.0,1867999,0.965354%
44,diffT,4691,,1,,自欺欺刃,zi4 qi1 qi1 ren4,,,self deceive deceive edge_of_the_knife,刃,3,-1.0,0.837331354618073,1.0,2858,0.001477%
44,sameT,4691,,1,,自欺欺壬,zi4 qi1 qi1 ren2,,,self deceive deceive ninth,壬,4,-2.0,0.723620891571045,1.0,564,0.000291%
44,noP,4691,,1,,自欺欺力,zi4 qi1 qi1 li4,,,self deceive deceive power,力,2,0.0,0.5525619387626648,1.0,359136,0.185596%
45,corr,485,4.686,1,0.667,自言自语,zi4 yan2 zi4 yu3,zì yán zì yǔ,think out loud,self talk self speech,语,9,,,0.0,82805,0.042792%
45,diffT,485,,1,,自言自鱼,zi4 yan2 zi4 yu2,,,self talk self fish,鱼,8,1.0,0.837331354618073,0.8181818181818182,40452,0.020905%
45,sameT,485,,1,,自言自俣,zi4 yan2 zi4 yu3,,,self talk self big,俣,9,0.0,0.723620891571045,0.5,197,0.000102%
45,noP,485,,1,,自言自胜,zi4 yan2 zi4 sheng4,,,self talk self splendor,胜,9,0.0,0.699114978313446,0.8,49565,0.025614%
46,corr,4152,3.784,769,0.852,舞文弄墨,wu3 wen2 nong4 mo4,wǔ wén nòng mò,play with words,play writing manipulate ink,墨,15,,,0.0,13959,0.007214%
46,diffT,4152,,769,,舞文弄模,wu3 wen2 nong4 mo2,,,play writing manipulate model,模,13,2.0,0.625924825668335,0.625,54891,0.028367%
46,sameT,4152,,769,,舞文弄磨,wu3 wen2 nong4 mo4,,,play writing manipulate grind,磨,16,-1.0,0.552642464637756,0.7777777777777778,13082,0.006761%
46,noP,4152,,769,,舞文弄酸,wu3 wen2 nong4 suan1,,,play writing manipulate sour,酸,14,0.0,0.7069944143295288,1.0,14855,0.007677%
47,corr,4667,4.561,1,0.889,若隐若现,ruo4 yin3 ruo4 xian4,ruò yǐn ruò xiàn,be vague,like hide like appear,现,8,,,0.0,433960,0.224264%
47,diffT,4667,,1,,若隐若贤,ruo4 yin3 ruo4 xian2,,,like hide like worthy,贤,8,0.0,0.783965408802032,0.8571428571428571,7713,0.003986%
47,sameT,4667,,1,,若隐若限,ruo4 yin3 ruo4 xian4,,,like hide like limit,限,8,0.0,0.8327733,0.8,66018,0.034117%
47,noP,4667,,1,,若隐若侈,ruo4 yin3 ruo4 chi3,,,like hide like extravagant,侈,8,0.0,0.727363109588623,0.75,1703,0.000880%
48,corr,491,4.305,1,0.926,见义勇为,jian4 yi4 yong3 wei2,jiàn yì yǒng wéi,to be brave,see justice brave act,为,4,,,0.0,1039036,0.536958%
48,diffT,491,,1,,见义勇未,jian4 yi4 yong3 wei4,,,see justice brave not_yet,未,5,-1.0,0.736825942993164,1.0,110491,0.057100%
48,sameT,491,,1,,见义勇韦,jian4 yi4 yong3 wei2,,,see justice brave leather,韦,4,0.0,0.661362171173096,1.0,10882,0.005624%
48,noP,491,,1,,见义勇月,jian4 yi4 yong3 yue4,,,see justice brave moon,月,4,0.0,0.6565361022949219,1.0,240566,0.124321%
49,corr,4632,4.439,867,0.704,谈天说地,tan2 tian1 shuo1 di4,tán tiān shuō dì,talk of everything,say sky say earth,地,6,,,0.0,969349,0.500945%
49,diffT,4632,,867,,谈天说邸,tan2 tian1 shuo1 di3,,,say sky say residence,邸,7,-1.0,0.693909406661987,0.6,1521,0.000786%
49,sameT,4632,,867,,谈天说弟,tan2 tian1 shuo1 di4,,,say sky say little brother,弟,7,-1.0,0.673902928829193,0.8333333333333334,42706,0.022070%
49,noP,4632,,867,,谈天说旨,tan2 tian1 shuo1 zhi3,,,say sky say purpose,旨,6,0.0,0.7892003059387207,0.8,10590,0.005473%
50,corr,4739,4.784,1,0.852,赏心悦目,shang3 xin1 yue4 mu4,shǎng xīn yuè mù,nice to hear,appreciate heart return eye,目,5,,,0.0,180827,0.093449%
50,diffT,4739,,1,,赏心悦母,shang3 xin1 yue4 mu3,,,appreciate heart return mother,母,5,0.0,0.672346711158752,1.0,71462,0.036930%
50,sameT,4739,,1,,赏心悦木,shang3 xin1 yue4 mu4,,,appreciate heart return tree,木,4,1.0,0.60686981678009,1.0,54433,0.028130%
50,noP,4739,,1,,赏心悦仪,shang3 xin1 yue4 yi2,,,appreciate heart return ceremony,仪,5,0.0,0.6642671823501587,1.0,19064,0.009852%
51,corr,4621,4.109,1,0.704,铺天盖地,pu1 tian1 gai4 di4,pū tiān gài dì,spread everywhere,spread sky cover soil,地,6,,,0.0,969349,0.500945%
51,diffT,4621,,1,,铺天盖籴,pu1 tian1 gai4 di3,,,spread sky cover buy grain,籴,8,-1.0,0.636153936386108,0.75,106,0.000055%
51,sameT,4621,,1,,铺天盖帝,pu1 tian1 gai4 di4,,,spread sky cover emperor,帝,9,-3.0,0.640032649040222,0.75,66035,0.034126%
51,noP,4621,,1,,铺天盖夷,pu1 tian1 gai4 yi2,,,spread sky cover barbarians,夷,6,0.0,0.7515331655740738,0.8,4638,0.002397%
52,corr,4674,3.059,769,0.741,风花雪月,feng1 hua1 xue3 yue4,fēng huā xuě yuè,romantic,wind flower snow moon,月,4,,,0.0,240566,0.124321%
52,diffT,4674,,769,,风花雪曰,feng1 hua1 xue3 yue1,,,wind flower snow speak,曰,4,0.0,0.673227787017822,1.0,11075,0.005723%
52,sameT,4674,,769,,风花雪乐,feng1 hua1 xue3 yue4,,,wind flower snow music,乐,5,-1.0,0.626778244972229,1.0,64965,0.033573%
52,noP,4674,,769,,风花雪止,feng1 hua1 xue3 zhi3,,,wind flower snow stop,止,4,0.0,0.5455586910247803,1.0,68082,0.035184%
53,corr,4475,3.957,1,0.926,风起云涌,feng1 qi3 yun2 yong3,fēng qǐ yún yǒng,largely spread phenomena,wind rise cloud emerge,涌,10,,,0.0,11228,0.005802%
53,diffT,4475,,1,,风起云庸,feng1 qi3 yun2 yong1,,,wind rise cloud common,庸,11,-1.0,0.763892531394958,1.0,5835,0.003015%
53,sameT,4475,,1,,风起云勇,feng1 qi3 yun2 yong3,,,wind rise cloud brave,勇,9,1.0,0.526011526584625,0.375,21819,0.011276%
53,noP,4475,,1,,风起云莉,feng1 qi3 yun2 li4,,,wind rise cloud jasmine,莉,10,0.0,0.7305909693241119,0.7142857142857143,8289,0.004284%
54,corr,4735,4.647,1,0.852,齐心协力,qi2 xin1 xie2 li4,qí xīn xié lì,work together,together heart cooperate power,力,2,,,0.0,359136,0.185596%
54,diffT,4735,,1,,齐心协礼,qi2 xin1 xie2 li3,,,together heart cooperate gift,礼,5,-3.0,0.760334610939026,1.0,35612,0.018404%
54,sameT,4735,,1,,齐心协立,qi2 xin1 xie2 li4,,,together heart cooperate stand,立,5,-3.0,0.733427286148071,1.0,204985,0.105933%
54,noP,4735,,1,,齐心协人,qi2 xin1 xie2 ren2,,,together heart cooperate person,人,2,0.0,0.5525619387626648,1.0,1867999,0.965354%
