Item,Condition,Familiarity,Compositionality,Predictability,Register,Spelling,Pin_yin,Ur_Pinyin,Fig_Transl,Lit_Transl,Last_char,Strokes,StrokeDiff,Sem_Distance,Levenshtein_Distance,字符频率,字符百分比
10,sameT,4505,,1,,咬牙切侈,yao3 ya2 qie4 chi3,,,bite mouth tighten extravagant,侈,8,0.0,0.758187294006348,1.0,1703,0.000880%
10,noP,4505,,1,,咬牙切兔,yao3 ya2 qie4 tu4,,,bite mouth tighten rabbit,兔,8,0.0,0.6310456991195679,1.0,4418,0.002283%
11,corr,4641,3.712,1,0.667,因地制宜,yin1 di4 zhi4 yi2,yīn dì zhì yí,Best according to circumstances,depending earth establish best,宜,8,,,0.0,18833,0.009733%
11,diffT,4641,,1,,因地制易,yin1 di4 zhi4 yi4,,,depending earth establish change,易,8,0.0,0.904396593570709,0.75,89730,0.046371%
11,sameT,4641,,1,,因地制怡,yin1 di4 zhi4 yi2,,,depending earth establish harmony,怡,8,0.0,0.827888369560242,0.75,3649,0.001886%
11,noP,4641,,1,,因地制诃,yin1 di4 zhi4 he1,,,depending earth establish scold,诃,8,0.0,0.6942698955535889,0.8,814,0.000421%
12,corr,485,4.257,1,0.444,大吃一惊,da4 chi1 yi1 jing1,dà chī yī jīng,To be surprised,big eat one shock,惊,11,,,0.0,59724,0.030864%
12,diffT,485,,1,,大吃一颈,da4 chi1 yi1 jing3,,,big eat one neck,颈,11,0.0,0.57145231962204,0.6923076923076923,6104,0.003154%
12,sameT,485,,1,,大吃一晶,da4 chi1 yi1 jing1,,,big eat one crystal,晶,12,-1.0,0.681798219680786,0.8461538461538461,10038,0.005187%
12,noP,485,,1,,大吃一绳,da4 chi1 yi1 shen2,,,big eat one rope,绳,11,0.0,0.745548665523529,0.6,7256,0.003750%
13,corr,4848,4.765,1,0.741,大同小异,da4 tong2 xiao3 yi4,dà tóng xiǎo yì,Similar,big equal small different,异,6,,,0.0,52735,0.027253%
13,diffT,4848,,1,,大同小仪,da4 tong2 xiao3 yi2,,,big equal small ceremony,仪,5,1.0,0.817426800727844,0.8333333333333334,19064,0.009852%
13,sameT,4848,,1,,大同小亦,da4 tong2 xiao3 yi4,,,big equal small also,亦,6,0.0,0.673486888408661,0.6,37960,0.019617%
13,noP,4848,,1,,大同小合,da4 tong2 xiao3 he2,,,big equal small together,合,6,0.0,0.5683249533176422,0.6,239277,0.123655%
14,corr,4598,4.671,1,0.667,天涯海角,tian1 ya2 hai3 jiao3,tiān yá hǎi jiǎo,Opposites,sky edge sea corner,角,7,,,0.0,50081,0.025881%
14,diffT,4598,,1,,天涯海娇,tian1 ya2 hai3 jiao1,,,sky edge sea lovable,娇,9,-2.0,0.528025150299072,1.0,5772,0.002983%
14,sameT,4598,,1,,天涯海狡,tian1 ya2 hai3 jiao3,,,sky edge sea crafty,狡,9,-2.0,0.622124075889587,1.0,2971,0.001535%
14,noP,4598,,1,,天涯海弟,tian1 ya2 hai3 di4,,,sky edge sea brother,弟,7,0.0,0.7680356651544571,1.0,42706,0.022070%
15,corr,4391,3.922,1,0.852,如火如荼,ru2 huo3 ru2 tu2,rú huǒ rú tú,Full expansion,like fire like grass,荼,10,,,0.0,616,0.000318%
15,diffT,4391,,1,,如火如兔,ru2 huo3 ru2 tu4,,,like fire like rabbit,兔,8,2.0,0.84643816947937,0.8333333333333334,4418,0.002283%
15,sameT,4391,,1,,如火如徒,ru2 huo3 ru2 tu2,,,like fire like apprentice,徒,10,0.0,0.685842514038086,0.5714285714285714,27812,0.014373%
15,noP,4391,,1,,如火如衷,ru2 huo3 ru2 zhong1,,,like fire like feelings,衷,10,0.0,0.6068208813667297,0.7333333333333333,5781,0.002988%
16,corr,4706,4.412,1,0.704,安居乐业,an1 ju1 le4 ye4,ān jū lè yè,To live peacefully,peacefully live enjoy work,业,5,,,0.0,296169,0.153056%
16,diffT,4706,,1,,安居乐爷,an1 ju1 le4 ye2,,,peacefully live enjoy grandpa,爷,6,-1.0,0.621519446372986,0.8,30930,0.015984%
16,sameT,4706,,1,,安居乐叶,an1 ju1 le4 ye4,,,peacefully live enjoy leaf,叶,5,0.0,0.626404762268066,1.0,36032,0.018621%
16,noP,4706,,1,,安居乐矢,an1 ju1 le4 shi3,,,peacefully live enjoy arrow,矢,5,0.0,0.745972067117691,0.5,2466,0.001274%
17,corr,4662,4.294,1,0.815,对症下药,dui4 zheng4 xia4 yao4,duì zhèng xià yào,To treat something,regarding disease give medicine,药,9,,,0.0,59090,0.030537%
17,diffT,4662,,1,,对症下姚,dui4 zheng4 xia4 yao2,,,regarding disease give handsome,姚,9,0.0,0.737674832344055,0.8,4806,0.002484%
17,sameT,4662,,1,,对症下钥,dui4 zheng4 xia4 yao4,,,regarding disease give key,钥,9,0.0,0.634344041347504,0.8,3772,0.001949%
17,noP,4662,,1,,对症下语,dui4 zheng4 xia4 yu3,,,regarding disease give  speech,语,9,0.0,0.7188186645507812,0.8571428571428571,82805,0.042792%
18,corr,4734,4.525,1,0.667,应有尽有,ying1 you3 jin4 you3,yīng yǒu jìn yǒu,Everything at its place,should exist everything exist,有,6,,,0.0,1782004,0.920913%
18,diffT,4734,,1,,应有尽优,ying1 you3 jin4 you1,,,should exist everything excellent,优,6,0.0,0.530716300010681,1.0,46613,0.024089%
18,sameT,4734,,1,,应有尽卣,ying1 you3 jin4 you3,,,should exist everything winecontainer,卣,7,-1.0,0.715323328971863,1.0,118,0.000061%
18,noP,4734,,1,,应有尽收,ying1 you3 jin4 shou1,,,should exist everything receive,收,6,0.0,0.6245325207710266,1.0,120897,0.062478%
19,corr,4742,4.72,1,0.741,弄虚作假,nong4 xu1 zuo4 jia3,nòng xū zuò jiǎ,Lie,do fake create mischievous,假,11,,,0.0,62691,0.032398%
19,diffT,4742,,1,,弄虚作颊,nong4 xu1 zuo4 jia2,,,do fake create cheeks,颊,12,-1.0,0.787495136260986,0.8571428571428571,3025,0.001563%
19,sameT,4742,,1,,弄虚作胛,nong4 xu1 zuo4 jia3,,,do fake create shoulder_blade,胛,9,2.0,0.647450923919678,0.75,247,0.000128%
19,noP,4742,,1,,弄虚作梨,nong4 xu1 zuo4 li2,,,do fake create pear,梨,11,0.0,0.7230333089828491,0.8333333333333334,1884,0.000974%
20,corr,4449,3.559,1,0.889,引人入胜,yin3 ren2 ru4 sheng4,yǐn rén rù shèng,Mesmerize people with beauty,lure person enter splendor,胜,9,,,0.0,49565,0.025614%
20,diffT,4449,,1,,引人入绳,yin3 ren2 ru4 sheng2,,,lure person enter rope/string,绳,11,-2.0,0.592411518096924,0.8,7256,0.003750%
20,sameT,4449,,1,,引人入盛,yin3 ren2 ru4 sheng4,,,lure person enter prosperous,盛,11,-2.0,0.577591061592102,1.0,24387,0.012603%
20,noP,4449,,1,,引人入俣,yin3 ren2 ru4 yu3,,,lure person enter big,俣,9,0.0,0.7845043689012527,0.8333333333333334,197,0.000102%
21,corr,4707,3.908,1,0.778,得心应手,de2 xin1 ying4 shou3,dé xīn yìng shǒu,Do something with skills,obtain heart adapt hand,手,4,,,0.0,280442,0.144928%
21,diffT,4707,,1,,得心应收,de2 xin1 ying4 shou1,,,obtain heart adapt receive,收,6,-2.0,0.837331354618073,1.0,120897,0.062478%
21,sameT,4707,,1,,得心应守,de2 xin1 ying4 shou3,,,obtain heart adapt guard,守,6,-2.0,0.723620891571045,1.0,44264,0.022875%
21,noP,4707,,1,,得心应月,de2 xin1 ying4 yue4,,,obtain heart adapt moon,月,4,0.0,0.666431188583374,1.0,240566,0.124321%
22,corr,4632,4.294,1,0.704,心平气和,xin1 ping2 qi4 he2,xīn píng qì hé,Peaceful attitude,heart quiet breath peaceful,和,8,,,0.0,1010465,0.522193%
22,diffT,4632,,1,,心平气诃,xin1 ping2 qi4 he1,,,heart quiet breath scold,诃,8,0.0,0.613324701786041,0.5,814,0.000421%
22,sameT,4632,,1,,心平气河,xin1 ping2 qi4 he2,,,heart quiet breath river,河,8,0.0,0.596226394176483,0.5,69687,0.036013%
22,noP,4632,,1,,心平气帜,xin1 ping2 qi4 zhi4,,,heart quiet breath flag,帜,8,0.0,0.8432604372501373,0.4,2452,0.001267%
23,corr,4615,4.085,1,0.963,心旷神怡,xin1 kuang4 shen2 yi2,xīn kuàng shén yí,Full of joy,heart free spirit harmonious,怡,8,,,0.0,3649,0.001886%
23,diffT,4615,,1,,心旷神异,xin1 kuang4 shen2 yi4,,,heart free spirit different,异,6,2.0,0.385139882564545,0.8,52735,0.027253%
23,sameT,4615,,1,,心旷神夷,xin1 kuang4 shen2 yi2,,,heart free spirit barbarians,夷,6,2.0,0.636198043823242,1.0,4638,0.002397%
23,noP,4615,,1,,心旷神籴,xin1 kuang4 shen2 di3,,,heart free spirit grain,籴,8,0.0,0.7206135392189026,0.75,106,0.000055%
24,corr,4828,4.492,1,0.519,心满意足,xin1 man3 yi4 zu2,xīn mǎn yì zú,Happy in the heart,heart full desire enough,足,7,,,0.0,77385,0.039991%
24,diffT,4828,,1,,心满意诅,xin1 man3 yi4 zu3,,,heart full desire curse,诅,7,0.0,0.755879044532776,1.0,1535,0.000793%
24,sameT,4828,,1,,心满意卒,xin1 man3 yi4 zu2,,,heart full desire soldier,卒,8,-1.0,0.771393001079559,0.8333333333333334,3306,0.001708%
24,noP,4828,,1,,心满意卣,xin1 man3 yi4 you3,,,heart full desire wine container,卣,7,0.0,0.7334097027778625,0.75,118,0.000061%
25,corr,4753,4.671,1,0.63,心甘情愿,xin1 gan1 qing2 yuan4,xīn gān qíng yuàn,Do something with passion,heart sweet emotion will,愿,14,,,0.0,67915,0.035097%
25,diffT,4753,,1,,心甘情缘,xin1 gan1 qing2 yuan2,,,heart sweet emotion fate,缘,12,2.0,0.605431318283081,1.0,19330,0.009989%
25,sameT,4753,,1,,心甘情媛,xin1 gan1 qing2 yuan4,,,heart sweet emotion beautiful_woman,媛,12,2.0,0.50305187702179,0.8666666666666667,535,0.000276%
25,noP,4753,,1,,心甘情疑,xin1 gan1 qing2 yi4,,,heart sweet emotion doubt,疑,14,0.0,0.6707146465778351,1.0,53982,0.027897%
26,corr,4813,4.6,1,0.889,志同道合,zhi4 tong2 dao4 he2,zhì tóng dào hé,To have the same principles,will same road align,合,6,,,0.0,239277,0.123655%
26,diffT,4813,,1,,志同道吓,zhi4 tong2 dao4 he4,,,will same road scare,吓,6,0.0,0.547932863235474,0.6,14620,0.007555%
26,sameT,4813,,1,,志同道何,zhi4 tong2 dao4 he2,,,will same road carry,何,7,-1.0,0.736730813980103,0.5,184335,0.095262%
26,noP,4813,,1,,志同道亦,zhi4 tong2 dao4 yi4,,,will same road also,亦,6,0.0,0.5357625484466553,0.4,37960,0.019617%
27,corr,4679,3.847,1,0.741,情有独钟,qing2 you3 du2 zhong1,qíng yǒu dú zhōng,Attraction,love have only concentrate,钟,9,,,0.0,36770,0.019002%
27,diffT,4679,,1,,情有独重,qing2 you3 du2 zhong4,,,love have only heavy,重,9,0.0,0.639271020889282,1.0,282843,0.146169%
27,sameT,4679,,1,,情有独衷,qing2 you3 du2 zhong1,,,love have only innerfeelings,衷,10,-1.0,0.636192679405212,0.5384615384615384,5781,0.002988%
27,noP,4679,,1,,情有独珏,qing2 you3 du2 yue2,,,love have only jade,珏,9,0.0,0.6338075995445251,0.8888888888888888,172,0.000089%
28,corr,466,4.268,1,0.815,惊天动地,jing1 tian1 dong4 di4,jīng tiān dòng dì,Huge impact,shock sky move ground,地,6,,,0.0,969349,0.500945%
28,diffT,466,,1,,惊天动邸,jing1 tian1 dong4 di3,,,shock sky move residence,邸,7,-1.0,0.640496015548706,0.6,1521,0.000786%
28,sameT,466,,1,,惊天动弟,jing1 tian1 dong4 di4,,,shock sky move littlebrother,弟,7,-1.0,0.435827314853668,0.8333333333333334,42706,0.022070%
28,noP,466,,1,,惊天动守,jing1 tian1 dong4 shou3,,,shock sky move type,守,6,0.0,0.709667831659317,0.75,44264,0.022875%
29,corr,4731,3.915,1,0.815,我行我素,wo3 xing2 wo3 su4,wǒ xíng wǒ sù,Not care about people's opinions,me walk me essence,素,10,,,0.0,59100,0.030542%
29,diffT,4731,,1,,我行我俗,wo3 xing2 wo3 su2,,,me walk me popular,俗,9,1.0,0.783965408802032,0.8,17463,0.009025%
29,sameT,4731,,1,,我行我速,wo3 xing2 wo3 su4,,,me walk me fast,速,10,0.0,0.7236209,1.0,65094,0.033640%
29,noP,4731,,1,,我行我涌,wo3 xing2 wo3 yong3,,,me walk me emerge,涌,10,0.0,0.7758431881666183,0.8571428571428571,11228,0.005802%
30,corr,4443,2.805,1,0.852,扑朔迷离,pu1 shuo4 mi2 li2,pū shuò mí lí,not able to tell with certainty,jump male uncertain distinguish,离,10,,,0.0,100744,0.052063%
30,diffT,4443,,1,,扑朔迷莉,pu1 shuo4 mi2 li4,,,jump male uncertain jasmine,莉,10,0.0,0.616571426391602,0.7777777777777778,8289,0.004284%
30,sameT,4443,,1,,扑朔迷梨,pu1 shuo4 mi2 li2,,,jump male uncertain pear,梨,11,-1.0,0.625908374786377,0.7777777777777778,1884,0.000974%
30,noP,4443,,1,,扑朔迷素,pu1 shuo4 mi2 su4,,,jump male uncertain essence,素,10,0.0,0.8142766207456589,0.6666666666666666,59100,0.030542%
31,corr,4759,4.05,909,0.667,日新月异,ri4 xin1 yue4 yi4,rì xīn yuè yì,change day after day,sun new moon different,异,6,,,0.0,52735,0.027253%
31,diffT,4759,,909,,日新月仪,ri4 xin1 yue4 yi2,,,sun new moon ceremony,仪,5,1.0,0.633708357810974,0.8333333333333334,19064,0.009852%
31,sameT,4759,,909,,日新月亦,ri4 xin1 yue4 yi4,,,sun new moon also,亦,6,0.0,0.676875352859497,0.6,37960,0.019617%
31,noP,4759,,909,,日新月吉,ri4 xin1 yue4 ji2,,,sun new moon lucky,吉,6,0.0,0.608966201543808,0.6,40081,0.020713%
32,corr,4543,3.235,538,0.889,有的放矢,you3 de5 fang4 shi3,yǒu de fàng shǐ,to have a precise goal,have target throw arrow,矢,5,,,0.0,2466,0.001274%
32,diffT,4543,,538,,有的放石,you3 de5 fang4 shi2,,,have target throw rock,石,5,0.0,0.665597558021545,0.6,102149,0.052789%
32,sameT,4543,,538,,有的放史,you3 de5 fang4 shi3,,,have target throw history,史,5,0.0,0.654701113700867,1.0,90469,0.046753%
32,noP,4543,,538,,有的放叶,you3 de5 fang4 ye4,,,have target throw leaf,叶,5,0.0,0.6644134819507599,1.0,36032,0.018621%
33,corr,4256,3.898,75,0.963,标本兼治,biao1 ben3 jian1 zhi4,biāo běn jiān zhì,deal with multiple problems,surface root together treat,治,8,,,0.0,156904,0.081086%
33,diffT,4256,,75,,标本兼直,biao1 ben3 jian1 zhi2,,,surface root together straighten,直,8,0.0,0.625924825668335,0.75,169439,0.087564%
33,sameT,4256,,75,,标本兼质,biao1 ben3 jian1 zhi4,,,surface root together question,质,8,0.0,0.552642464637756,0.8,104560,0.054035%
33,noP,4256,,75,,标本兼沽,biao1 ben3 jian1 gu1,,,surface root together buy,沽,8,0.0,0.7295309603214264,0.2,1043,0.000539%
34,corr,4719,4.474,867,0.889,根深蒂固,gen1 shen1 di4 gu4,gēn shēn dì gù,deeply rooted thing,root deep sprout strong,固,8,,,0.0,37582,0.019422%
34,diffT,4719,,867,,根深蒂沽,gen1 shen1 di4 gu1,,,root deep sprout buy,沽,8,0.0,0.6723467,0.4,1043,0.000539%
34,sameT,4719,,867,,根深蒂故,gen1 shen1 di4 gu4,,,root deep sprout old,故,9,-1.0,0.570423543453217,0.4,70067,0.036210%
34,noP,4719,,867,,根深蒂直,gen1 shen1 di4 zhi2,,,root deep sprout straighten,直,8,0.0,0.6687738597393036,0.5,169439,0.087564%
35,corr,493,4.439,1,0.704,欢天喜地,huan1 tian1 xi3 di4,huān tiān xǐ dì,extremely happy,happy sky joyful earth,地,6,,,0.0,969349,0.500945%
35,diffT,493,,1,,欢天喜籴,huan1 tian1 xi3 di3,,,happy sky joyful buy grain,籴,8,-2.0,0.699845671653748,0.75,106,0.000055%
35,sameT,493,,1,,欢天喜弟,huan1 tian1 xi3 di4,,,happy sky joyful brother,弟,9,-3.0,0.692597031593323,0.8333333333333334,42706,0.022070%
35,noP,493,,1,,欢天喜爷,huan1 tian1 xi3 he2,,,happy sky joyful grandpa,爷,6,0.0,0.6966394782066345,0.8333333333333334,30930,0.015984%
36,corr,463,4.686,769,0.519,求真务实,qiu2 zhen1 wu4 shi2,qiú zhēn wù shí,do things seriously,search truth concentrate truth,实,8,,,0.0,368494,0.190432%
36,diffT,463,,769,,求真务式,qiu2 zhen1 wu4 shi4,,,search truth concentrate type,式,6,2.0,0.712796568870544,1.0,142292,0.073534%
36,sameT,463,,769,,求真务时,qiu2 zhen1 wu4 shi2,,,search truth concentrate hour,时,7,1.0,0.703918933868408,1.0,833532,0.430757%
36,noP,463,,769,,求真务雨,qiu2 zhen1 wu4 yu4,,,search truth concentrate rain,雨,8,0.0,0.7291178405284882,0.75,35370,0.018279%
37,corr,4663,3.686,1,0.741,游刃有余,you2 ren4 you3 yu2,yóu rèn yǒu yú,sort it out with skills,move blade have extra,余,7,,,0.0,50601,0.026150%
37,diffT,4663,,1,,游刃有雨,you2 ren4 you3 yu4,,,move blade have rain,雨,8,-1.0,0.673227787017822,0.6,35370,0.018279%
37,sameT,4663,,1,,游刃有鱼,you2 ren4 you3 yu2,,,move blade have fish,鱼,8,-1.0,0.626778244972229,0.7777777777777778,40452,0.020905%
37,noP,4663,,1,,游刃有邸,you2 ren4 you3 di3,,,move blade have residence,邸,7,0.0,0.6036444008350372,0.8,1521,0.000786%
38,corr,4652,4.294,769,0.852,独树一帜,du2 shu4 yi1 zhi4,dú shù yī zhì,stand out,only stand one flag,帜,8,,,0.0,2452,0.001267%
38,diffT,4652,,769,,独树一直,du2 shu4 yi1 zhi2,,,only stand one straighten,直,8,0.0,0.56704044342041,0.75,169439,0.087564%
38,sameT,4652,,769,,独树一质,du2 shu4 yi1 zhi4,,,only stand one question,质,8,0.0,0.523495554924011,0.8,104560,0.054035%
38,noP,4652,,769,,独树一终,du2 shu4 yi1 zhong1,,,only stand one end,终,8,0.0,0.5513329207897186,0.6666666666666666,72533,0.037484%
