"Item","Condition","Familiarity","Compositionality","Predictability","Register","Spelling","Pin_yin","Ur_Pinyin","Fig_Transl","Lit_Transl","Last_char","Strokes","StrokeDiff","Visual_Distance_SVG","Sem_Distance","JunDa_Occurences","Levhenstein_Distance","Frequency","logf","Group","List","correct_response"
"43","sameT","4.632",NA,"1",NA,"自始至衷","zi4 shi3 zhi4 zhong1",NA,NA,"from beginning to innerfeelings","衷","10","-2","62.25","0.523495554924011","5781","0.733333333333333","2.98753486348795e-05","-10.4184768779939","G3","L1","false"
"44","corr","4.691","4.216","1","0.852","自欺欺人","zi4 qi1 qi1 ren2","zì qī qī rén","to deceive","self deceive deceive person","人","2",NA,NA,NA,"1867999","0","0.0096535411476572","-4.64043047263753","G1","L1","true"
"44","diffT","4.691",NA,"1",NA,"自欺欺刃","zi4 qi1 qi1 ren4",NA,NA,"self deceive deceive edge_of_the_knife","刃","3","-1","103.88","0.732971429824829","2858","1","1.47697191486742e-05","-11.1229314765866","G1","L3","false"
"44","sameT","4.691",NA,"1",NA,"自欺欺壬","zi4 qi1 qi1 ren2",NA,NA,"self deceive deceive ninth","壬","4","-2","117.46","0.772993445396423","564","1","2.91466815950044e-06","-12.7457545835783","G1","L2","false"
"45","corr","4.85","4.686","1","0.667","自言自语","zi4 yan2 zi4 yu3","zì yán zì yǔ","think out loud","self talk self speech","语","9",NA,NA,NA,"82805","0","0.000427923930757862","-7.75656511005281","G3","L3","true"
"45","diffT","4.85",NA,"1",NA,"自言自鱼","zi4 yan2 zi4 yu2",NA,NA,"self talk self fish","鱼","8","1","62.03","0.699845671653748","40452","0.818181818181818","0.000209049922673957","-8.47293747005434","G3","L2","false"
"45","sameT","4.85",NA,"1",NA,"自言自俣","zi4 yan2 zi4 yu3",NA,NA,"self talk self big","俣","9","0","53.43","0.692597031593323","197","0.5","1.0180667152865e-06","-13.7976051063384","G3","L1","false"
"46","corr","4.152","3.784","0.769","0.852","舞文弄墨","wu3 wen2 nong4 mo4","wǔ wén nòng mò","play with words","play writing manipulate ink","墨","15",NA,NA,NA,"13959","0","7.21380369476359e-05","-9.53692909456365","G1","L1","true"
"46","diffT","4.152",NA,"0.769",NA,"舞文弄模","wu3 wen2 nong4 mo2",NA,NA,"play writing manipulate model","模","13","2","46.39","0.706910967826843","54891","0.625","0.000283668528267976","-8.16770415544373","G1","L3","false"
"46","sameT","4.152",NA,"0.769",NA,"舞文弄磨","wu3 wen2 nong4 mo4",NA,NA,"play writing manipulate grind","磨","16","-1","47.24","0.535614371299744","13082","0.777777777777778","6.76058313166396e-05","-9.60181631655525","G1","L2","false"
"47","corr","4.667","4.561","1","0.889","若隐若现","ruo4 yin3 ruo4 xian4","ruò yǐn ruò xiàn","be vague","like hide like appear","现","8",NA,NA,NA,"433960","0","0.00224264077038442","-6.10010119214002","G1","L1","true"
"47","diffT","4.667",NA,"1",NA,"若隐若贤","ruo4 yin3 ruo4 xian2",NA,NA,"like hide like worthy","贤","8","0","62.58","0.589670658111572","7713","0.857142857142857","3.98596374365725e-05","-10.1301463391424","G1","L3","false"
"47","sameT","4.667",NA,"1",NA,"若隐若限","ruo4 yin3 ruo4 xian4",NA,NA,"like hide like limit","限","8","0","55.59","0.602126955986023","66018","0.8","0.00034117121020195","-7.98312612397844","G1","L2","false"
"48","corr","4.91","4.305","1","0.926","见义勇为","jian4 yi4 yong3 wei2","jiàn yì yǒng wéi","to be brave","see justice brave act","为","4",NA,NA,NA,"1039036","0","0.00536958359179911","-5.22700491689462","G2","L2","true"
"48","diffT","4.91",NA,"1",NA,"见义勇未","jian4 yi4 yong3 wei4",NA,NA,"see justice brave not_yet","未","5","-1","75.3","0.57694149017334","110491","1","0.000571001063140715","-7.46811948641733","G2","L1","false"
"48","sameT","4.91",NA,"1",NA,"见义勇韦","jian4 yi4 yong3 wei2",NA,NA,"see justice brave leather","韦","4","0","91.14","0.763003587722778","10882","1","5.62365583540493e-05","-9.78594350803053","G2","L3","false"
"49","corr","4.632","4.439","0.867","0.704","谈天说地","tan2 tian1 shuo1 di4","tán tiān shuō dì","talk of everything","say sky say earth","地","6",NA,NA,NA,"969349","0","0.00500945153500637","-5.29642884392871","G3","L3","true"
"49","diffT","4.632",NA,"0.867",NA,"谈天说邸","tan2 tian1 shuo1 di3",NA,NA,"say sky say residence","邸","7","-1","68.53","0.837331354618073","1521","0.6","7.86030189822725e-06","-11.7536855428171","G3","L2","false"
"49","sameT","4.632",NA,"0.867",NA,"谈天说弟","tan2 tian1 shuo1 di4",NA,NA,"say sky say little brother","弟","7","-1","77.42","0.723620891571045","42706","0.833333333333333","0.000220698259609266","-8.41871413050855","G3","L1","false"
"5","corr","4.63","4.784","1","0.704","冰天雪地","bing1 tian1 xue3 di4","bīng tiān xuě dì","Very cold","ice sky snow earth","地","6",NA,NA,NA,"969349","0","0.00500945153500637","-5.29642884392871","G1","L1","true"
"5","diffT","4.63",NA,"1",NA,"冰天雪邸","bing1 tian1 xue3 di3",NA,NA,"ice sky snow residence","邸","7","-1","66.53","0.837331354618073","1521","0.6","7.86030189822725e-06","-11.7536855428171","G1","L3","false"
"5","sameT","4.63",NA,"1",NA,"冰天雪弟","bing1 tian1 xue3 di4",NA,NA,"ice sky snow little brother","弟","7","-1","77.42","0.723620891571045","42706","0.833333333333333","0.000220698259609266","-8.41871413050855","G1","L2","false"
"50","corr","4.739","4.784","1","0.852","赏心悦目","shang3 xin1 yue4 mu4","shǎng xīn yuè mù","nice to hear","appreciate heart return eye","目","5",NA,NA,NA,"180827","0","0.000934487055457422","-6.97551278300256","G1","L1","true"
"50","diffT","4.739",NA,"1",NA,"赏心悦母","shang3 xin1 yue4 mu3",NA,NA,"appreciate heart return mother","母","5","0","80.07","0.625924825668335","71462","1","0.000369304992933015","-7.90388771620523","G1","L3","false"
"50","sameT","4.739",NA,"1",NA,"赏心悦木","shang3 xin1 yue4 mu4",NA,NA,"appreciate heart return tree","木","4","1","105.96","0.552642464637756","54433","1","0.000281301652351219","-8.17608296850342","G1","L2","false"
"51","corr","4.621","4.109","1","0.704","铺天盖地","pu1 tian1 gai4 di4","pū tiān gài dì","spread everywhere","spread sky cover soil","地","6",NA,NA,NA,"969349","0","0.00500945153500637","-5.29642884392871","G1","L1","true"
"51","diffT","4.621",NA,"1",NA,"铺天盖籴","pu1 tian1 gai4 di3",NA,NA,"spread sky cover buy grain","籴","8","-1","68.48","0.783965408802032","106","0.75","5.47792242742991e-07","-14.4173697409643","G1","L3","false"
"51","sameT","4.621",NA,"1",NA,"铺天盖帝","pu1 tian1 gai4 di4",NA,NA,"spread sky cover emperor","帝","9","-3","70.23","0.8327733","66035","0.75","0.000220698259609266","-7.982869","G1","L2","false"
"52","corr","4.674","3.059","0.769","0.741","风花雪月","feng1 hua1 xue3 yue4","fēng huā xuě yuè","romantic","wind flower snow moon","月","4",NA,NA,NA,"240566","0","0.00124320932705387","-6.69005907592257","G3","L3","true"
"52","diffT","4.674",NA,"0.769",NA,"风花雪曰","feng1 hua1 xue3 yue1",NA,NA,"wind flower snow speak","曰","4","0","104.25","0.736825942993164","11075","1","5.72339536639492e-05","-9.76836324016307","G3","L2","false"
"52","sameT","4.674",NA,"0.769",NA,"风花雪乐","feng1 hua1 xue3 yue4",NA,NA,"wind flower snow music","乐","5","-1","75.76","0.661362171173096","64965","1","0.000335729462733947","-7.99920489275957","G3","L1","false"
"53","corr","4.475","3.957","1","0.926","风起云涌","feng1 qi3 yun2 yong3","fēng qǐ yún yǒng","largely spread phenomena","wind rise cloud emerge","涌","10",NA,NA,NA,"11228","0","5.80246349199839e-05","-9.75464289759463","G3","L3","true"
"53","diffT","4.475",NA,"1",NA,"风起云庸","feng1 qi3 yun2 yong1",NA,NA,"wind rise cloud common","庸","11","-1","50.16","0.693909406661987","5835","1","3.01544126075976e-05","-10.4091792903557","G3","L2","false"
"53","sameT","4.475",NA,"1",NA,"风起云勇","feng1 qi3 yun2 yong3",NA,NA,"wind rise cloud brave","勇","9","1","53.17","0.673902928829193","21819","0.375","0.000112757348532163","-9.09027240625375","G3","L1","false"
"54","corr","4.735","4.647","1","0.852","齐心协力","qi2 xin1 xie2 li4","qí xīn xié lì","work together","together heart cooperate power","力","2",NA,NA,NA,"359136","0","0.00185596146122402","-6.28935240926042","G3","L3","true"
"54","diffT","4.735",NA,"1",NA,"齐心协礼","qi2 xin1 xie2 li3",NA,NA,"together heart cooperate gift","礼","5","-3","88.09","0.672346711158752","35612","1","0.000184037522156258","-8.60037089638284","G3","L2","false"
"54","sameT","4.735",NA,"1",NA,"齐心协立","qi2 xin1 xie2 li4",NA,NA,"together heart cooperate stand","立","5","-3","66.72","0.60686981678009","204985","1","0.00105933200828936","-6.85011675036468","G3","L1","false"
"6","corr","4.67","4.293","1","0.815","千方百计","qian1 fang1 bai3 ji4","qiān fāng bǎi jì","Try everything","thousand methods hundred plans","计","4",NA,NA,NA,"171949","0","0.000888606871202023","-7.02585563487699","G1","L1","true"
"6","diffT","4.67",NA,"1",NA,"千方百吉","qian1 fang1 bai3 ji2",NA,NA,"thousand methods hundred lucky","吉","6","-2","93.55","0.636153936386108","40081","0.75","0.000207132649824357","-8.48215114952911","G1","L3","false"
"6","sameT","4.67",NA,"1",NA,"千方百忌","qian1 fang1 bai3 ji4",NA,NA,"thousand methods hundred fear","忌","7","-3","88.31","0.640032649040222","7938","1","4.10224039895647e-05","-10.1013922017334","G1","L2","false"
"7","corr","4.825","4.439","1","0.593","原汁原味","yuan2 zhi1 yuan2 wei4","yuán zhī yuán wèi","Authentic","original juice original taste","味","8",NA,NA,NA,"40704","0","0.000210352221213308","-8.46672718837661","G2","L2","true"
"7","diffT","4.825",NA,"1",NA,"原汁原违","yuan2 zhi1 yuan2 wei2",NA,NA,"original juice original disobey","违","7","1","60.74","0.673227787017822","22751","1","0.000117573785987224","-9.04844445561939","G2","L1","false"
"7","sameT","4.825",NA,"1",NA,"原汁原畏","yuan2 zhi1 yuan2 wei4",NA,NA,"original juice original fear","畏","9","-1","76.46","0.626778244972229","6722","1","3.47382967520602e-05","-10.2676678267914","G2","L3","false"
"8","corr","4.737","4.737","0.867","0.63","反腐倡廉","fan3 fu3 chang4 lian2","fǎn fǔ chàng lián","Fight against corruption","contrast corruption promote honesty","廉","13",NA,NA,NA,"8854","0","4.57561558230796e-05","-9.99218422178432","G1","L1","true"
"8","diffT","4.737",NA,"0.867",NA,"反腐倡链","fan3 fu3 chang4 lian4",NA,NA,"contrast corruption promote chain","链","12","1","59.18","0.763892531394958","6223","1","3.21595389300908e-05","-10.3448014505072","G1","L3","false"
"8","sameT","4.737",NA,"0.867",NA,"反腐倡联","fan3 fu3 chang4 lian2",NA,NA,"contrast corruption promote ally","联","12","1","53.51","0.526011526584625","120301","0.625","0.000621697684851175","-7.38305662059623","G1","L2","false"
"9","corr","4.074","3.431","0.923","0.815","叹为观止","tan4 wei2 guan1 zhi3","tàn wéi guān zhǐ","To admire something","sigh consider see stop","止","4",NA,NA,NA,"68082","0","0.000351837655381399","-7.95234069505736","G1","L1","true"
"9","diffT","4.074",NA,"0.923",NA,"叹为观汁","tan4 wei2 guan1 zhi1",NA,NA,"sigh consider see juice","汁","5","-1","118.77","0.760334610939026","3564","1","1.84182221993964e-05","-10.9021700464857","G1","L3","false"
"9","sameT","4.074",NA,"0.923",NA,"叹为观旨","tan4 wei2 guan1 zhi3",NA,NA,"sigh consider see purpose","旨","6","-2","108.67","0.733427286148071","10590","1","5.47275457608327e-05","-9.81314339648095","G1","L2","false"
