"Item","Condition","Familiarity","Compositionality","Predictability","Register","Spelling","Pin_yin","Ur_Pinyin","Fig_Transl","Lit_Transl","Last_char","Strokes","StrokeDiff","Visual_Distance_SVG","Sem_Distance","JunDa_Occurences","Levhenstein_Distance","Frequency","logf","Group","List","correct_response"
"17","sameT","4.662",NA,"1",NA,"对症下钥","dui4 zheng4 xia4 yao4",NA,NA,"regarding disease give key","钥","9","0","58.26","0.742361783981323","3772","0.8","1.94931352794958e-05","-10.8454481913231","G2","L3","false"
"18","corr","4.734","4.525","1","0.667","应有尽有","ying1 you3 jin4 you3","yīng yǒu jìn yǒu","Everything at its place","should exist everything exist","有","6",NA,NA,NA,"1782004","0","0.00920913177110358","-4.68755970339712","G3","L3","true"
"18","diffT","4.734",NA,"1",NA,"应有尽优","ying1 you3 jin4 yao1",NA,NA,"should exist everything excellent","优","6","0","74.79","0.690865516662598","46613","1","0.000240889054820557","-8.33117408391047","G3","L2","false"
"18","sameT","4.734",NA,"1",NA,"应有尽卣","ying1 you3 jin4 you3",NA,NA,"should exist everything winecontainer","卣","7","-1","68.61","0.758187294006348","118","1","6.09806458902574e-07","-14.3101242106107","G3","L1","false"
"19","corr","4.742","4.72","1","0.741","弄虚作假","nong4 xu1 zuo4 jia3","nòng xū zuò jiǎ","Lie","do fake create mischievous","假","11",NA,NA,NA,"62691","0","0.000323977768771706","-8.0348356594282","G2","L2","true"
"19","diffT","4.742",NA,"1",NA,"弄虚作颊","nong4 xu1 zuo4 jia2",NA,NA,"do fake create cheeks","颊","12","-1","43.92","0.904396593570709","3025","0.857142857142857","1.56327503235618e-05","-11.0661424646115","G2","L1","false"
"19","sameT","4.742",NA,"1",NA,"弄虚作胛","nong4 xu1 zuo4 jia3",NA,NA,"do fake create shoulder_blade","胛","9","2","67.16","0.827888369560242","247","0.75","1.2764592826181e-06","-13.5714204984484","G2","L3","false"
"2","corr","4.735","4.333","0.692","0.407","不知不觉","bu4 zhi1 bu4 jue2","bù zhī bù jué","Without realizing","not know not notice","觉","9",NA,NA,NA,"132041","0","0.000682368259660634","-7.28994107567537","G2","L2","true"
"2","diffT","4.735",NA,"0.692",NA,"不知不绝","bu4 zhi1 bu4 jue4",NA,NA,"not know not break","绝","9","0","60.75","0.57145231962204","72074","1","0.000372467717957154","-7.8953601871024","G2","L1","false"
"2","sameT","4.735",NA,"0.692",NA,"不知不珏","bu4 zhi1 bu4 jue2",NA,NA,"not know not jade","珏","9","0","68.53","0.681798219680786","172","1","8.88870431620702e-07","-13.933314358263","G2","L3","false"
"20","corr","4.449","3.559","1","0.889","引人入胜","yin3 ren2 ru4 sheng4","yǐn rén rù shèng","Mesmerize people with beauty","lure person enter splendor","胜","9",NA,NA,NA,"49565","0","0.000256144551995814","-8.26976861660941","G3","L3","true"
"20","diffT","4.449",NA,"1",NA,"引人入绳","yin3 ren2 ru4 sheng2",NA,NA,"lure person enter rope/string","绳","11","-2","60.22","0.817426800727844","7256","0.8","3.74979293711617e-05","-10.1912248432814","G3","L2","false"
"20","sameT","4.449",NA,"1",NA,"引人入盛","yin3 ren2 ru4 sheng4",NA,NA,"lure person enter prosperous","盛","11","-2","54.36","0.673486888408661","24387","1","0.000126028390790314","-8.97900335266172","G3","L1","false"
"21","corr","4.707","3.908","1","0.778","得心应手","de2 xin1 ying4 shou3","dé xīn yìng shǒu","Do something with skills","obtain heart adapt hand","手","4",NA,NA,NA,"280442","0","0.00144928256735217","-6.53668662613067","G3","L3","true"
"21","diffT","4.707",NA,"1",NA,"得心应收","de2 xin1 ying4 shou1",NA,NA,"obtain heart adapt receive","收","6","-2","88.61","0.528025150299072","120897","1","0.000624777724253767","-7.37811461267717","G3","L2","false"
"21","sameT","4.707",NA,"1",NA,"得心应守","de2 xin1 ying4 shou3",NA,NA,"obtain heart adapt guard","守","6","-2","70.82","0.622124075889587","44264","1","0.000228749772007318","-8.38288185049846","G3","L1","false"
"22","corr","4.632","4.294","1","0.704","心平气和","xin1 ping2 qi4 he2","xīn píng qì hé","Peaceful attitude","heart quiet breath peaceful","和","8",NA,NA,NA,"1010465","0","0.00522193291097449","-5.2548876561691","G1","L1","true"
"22","diffT","4.632",NA,"1",NA,"心平气诃","xin1 ping2 qi4 he1",NA,NA,"heart quiet breath scold","诃","8","0","82.95","0.84643816947937","814","0.5","4.20663099615844e-06","-12.3788484690739","G1","L3","false"
"22","sameT","4.632",NA,"1",NA,"心平气河","xin1 ping2 qi4 he2",NA,NA,"heart quiet breath river","河","8","0","88.12","0.685842514038086","69687","0.5","0.000360132056792743","-7.92903976935346","G1","L2","false"
"23","corr","4.615","4.085","1","0.963","心旷神怡","xin1 kuang4 shen2 yi2","xīn kuàng shén yí","Full of joy","heart free spirit harmonious","怡","8",NA,NA,NA,"3649","0","1.88574895638601e-05","-10.87860039864","G3","L3","true"
"23","diffT","4.615",NA,"1",NA,"心旷神异","xin1 kuang4 shen2 yi4",NA,NA,"heart free spirit different","异","6","2","75.73","0.621519446372986","52735","0.8","0.000272526640764638","-8.20777418436569","G3","L2","false"
"23","sameT","4.615",NA,"1",NA,"心旷神夷","xin1 kuang4 shen2 yi2",NA,NA,"heart free spirit barbarians","夷","6","2","70.1","0.626404762268066","4638","1","2.39684945456791e-05","-10.6387703172609","G3","L1","false"
"24","corr","4.828","4.492","1","0.519","心满意足","xin1 man3 yi4 zu2","xīn mǎn yì zú","Happy in the heart","heart full desire enough","足","7",NA,NA,NA,"77385","0","0.000399914176459116","-7.82426059272955","G3","L3","true"
"24","diffT","4.828",NA,"1",NA,"心满意诅","xin1 man3 yi4 zu3",NA,NA,"heart full desire curse","诅","7","0","79.66","0.737674832344055","1535","1","7.9326518170801e-06","-11.7445231750551","G3","L2","false"
"24","sameT","4.828",NA,"1",NA,"心满意卒","xin1 man3 yi4 zu2",NA,NA,"heart full desire soldier","卒","8","-1","83.69","0.634344041347504","3306","0.833333333333333","1.70849165519653e-05","-10.9773145566954","G3","L1","false"
"25","corr","4.753","4.671","1","0.63","心甘情愿","xin1 gan1 qing2 yuan4","xīn gān qíng yuàn","Do something with passion","heart sweet emotion will","愿","14",NA,NA,NA,"67915","0","0.000350974624206511","-7.95479663281981","G2","L2","true"
"25","diffT","4.753",NA,"1",NA,"心甘情缘","xin1 gan1 qing2 yuan2",NA,NA,"heart sweet emotion fate","缘","12","2","51.97","0.530716300010681","19330","1","9.98945665303963e-05","-9.21139526287403","G2","L1","false"
"25","sameT","4.753",NA,"1",NA,"心甘情媛","xin1 gan1 qing2 yuan4",NA,NA,"heart sweet emotion beautiful_woman","媛","12","2","51.41","0.715323328971863","535","0.866666666666667","2.76480047044811e-06","-12.7985420881804","G2","L3","false"
"26","corr","4.813","4.6","1","0.889","志同道合","zhi4 tong2 dao4 he2","zhì tóng dào hé","To have the same principles","will same road align","合","6",NA,NA,NA,"239277","0","0.00123654796666806","-6.69543167946401","G2","L2","true"
"26","diffT","4.813",NA,"1",NA,"志同道吓","zhi4 tong2 dao4 he4",NA,NA,"will same road scare","吓","6","0","106.74","0.787495136260986","14620","0.6","7.55539866877596e-05","-9.49066310177264","G2","L1","false"
"26","sameT","4.813",NA,"1",NA,"志同道何","zhi4 tong2 dao4 he2",NA,NA,"will same road carry","何","7","-1","84.58","0.647450923919678","184335","0.5","0.000952615877981407","-6.9562988016896","G2","L3","false"
"27","corr","4.679","3.847","1","0.741","情有独钟","qing2 you3 du2 zhong1","qíng yǒu dú zhōng","Attraction","love have only concentrate","钟","9",NA,NA,NA,"36770","0","0.000190021894015658","-8.56837126078109","G2","L2","true"
"27","diffT","4.679",NA,"1",NA,"情有独重","qing2 you3 du2 zhong4",NA,NA,"love have only heavy","重","9","0","74.3","0.592411518096924","282843","1","0.00146169057843543","-6.52816158271104","G2","L1","false"
"27","sameT","4.679",NA,"1",NA,"情有独衷","qing2 you3 du2 zhong1",NA,NA,"love have only innerfeelings","衷","10","-1","86.57","0.577591061592102","5781","0.538461538461538","2.98753486348795e-05","-10.4184768779939","G2","L3","false"
"28","corr","4.66","4.268","1","0.815","惊天动地","jing1 tian1 dong4 di4","jīng tiān dòng dì","Huge impact","shock sky move ground","地","6",NA,NA,NA,"969349","0","0.00500945153500637","-5.29642884392871","G2","L2","true"
"28","diffT","4.66",NA,"1",NA,"惊天动邸","jing1 tian1 dong4 di3",NA,NA,"shock sky move residence","邸","7","-1","68.53","0.837331354618073","1521","0.6","7.86030189822725e-06","-11.7536855428171","G2","L1","false"
"28","sameT","4.66",NA,"1",NA,"惊天动弟","jing1 tian1 dong4 di4",NA,NA,"shock sky move littlebrother","弟","7","-1","77.42","0.723620891571045","42706","0.833333333333333","0.000220698259609266","-8.41871413050855","G2","L3","false"
"29","corr","4.731","3.915","1","0.815","我行我素","wo3 xing2 wo3 su4","wǒ xíng wǒ sù","Not care about people's opinions","me walk me essence","素","10",NA,NA,NA,"59100","0","0.00030542001458595","-8.09382263168222","G1","L1","true"
"29","diffT","4.731",NA,"1",NA,"我行我俗","wo3 xing2 wo3 su2",NA,NA,"me walk me popular","俗","9","1","56.46","0.613324701786041","17463","0.8","9.02461880662344e-05","-9.31296919913656","G1","L3","false"
"29","sameT","4.731",NA,"1",NA,"我行我速","wo3 xing2 wo3 su4",NA,NA,"me walk me fast","速","10","0","65.88","0.596226394176483","65094","1","0.000336396115557662","-7.9972211770259","G1","L2","false"
"3","corr","4.574","4.373","1","0.704","全心全意","quan2 xin1 quan2 yi4","quán xīn quán yì","With great purpose","all heart all mind","意","13",NA,NA,NA,"360232","0","0.00186162542629993","-6.28630528776482","G2","L2","true"
"3","diffT","4.574",NA,"1",NA,"全心全疑","quan2 xin1 quan2 yi2",NA,NA,"all heart all doubt","疑","14","-1","55.03","0.385139882564545","53982","0.7","0.000278970951393888","-8.18440289843123","G2","L1","false"
"3","sameT","4.574",NA,"1",NA,"全心全裔","quan2 xin1 quan2 yi4",NA,NA,"all heart all posterity/descendants","裔","13","0","49.5","0.636198043823242","2350","0.555555555555556","1.21444506645852e-05","-11.3186382279382","G2","L3","false"
"30","corr","4.443","2.805","1","0.852","扑朔迷离","pu1 shuo4 mi2 li2","pū shuò mí lí","not able to tell with certainty","jump male uncertain distinguish","离","10",NA,NA,NA,"100744","0","0.000520630016065093","-7.56047091039072","G1","L1","true"
"30","diffT","4.443",NA,"1",NA,"扑朔迷莉","pu1 shuo4 mi2 li4",NA,NA,"jump male uncertain jasmine","莉","10","0","51","0.755879044532776","8289","0.777777777777778","4.28363198122325e-05","-10.0581242214849","G1","L3","false"
"30","sameT","4.443",NA,"1",NA,"扑朔迷梨","pu1 shuo4 mi2 li2",NA,NA,"jump male uncertain pear","梨","11","-1","54.99","0.771393001079559","1884","0.777777777777778","9.73623193705466e-06","-11.5396563799401","G1","L2","false"
"31","corr","4.759","4.05","0.909","0.667","日新月异","ri4 xin1 yue4 yi4","rì xīn yuè yì","change day after day","sun new moon different","异","6",NA,NA,NA,"52735","0","0.000272526640764638","-8.20777418436569","G2","L2","true"
"31","diffT","4.759",NA,"0.909",NA,"日新月仪","ri4 xin1 yue4 yi2",NA,NA,"sun new moon ceremony","仪","5","1","87.87","0.605431318283081","19064","0.833333333333333","9.85199180721922e-05","-9.22525181629783","G2","L1","false"
"31","sameT","4.759",NA,"0.909",NA,"日新月亦","ri4 xin1 yue4 yi4",NA,NA,"sun new moon also","亦","6","0","68.15","0.50305187702179","37960","0.6","0.00019617163711815","-8.53652058235254","G2","L3","false"
"32","corr","4.543","3.235","0.538","0.889","有的放矢","you3 de5 fang4 shi3","yǒu de fàng shǐ","to have a precise goal","have target throw arrow","矢","5",NA,NA,NA,"2466","0","1.27439214207945e-05","-11.2704561513521","G3","L3","true"
"32","diffT","4.543",NA,"0.538",NA,"有的放石","you3 de5 fang4 shi2",NA,NA,"have target throw rock","石","5","0","78.47","0.547932863235474","102149","0.6","0.000527890847207111","-7.54662102440376","G3","L2","false"
"32","sameT","4.543",NA,"0.538",NA,"有的放史","you3 de5 fang4 shi3",NA,NA,"have target throw history","史","5","0","58.84","0.736730813980103","90469","1","0.000467530343478449","-7.66804630550557","G3","L1","false"
"33","corr","4.256","3.898","0.75","0.963","标本兼治","biao1 ben3 jian1 zhi4","biāo běn jiān zhì","deal with multiple problems","surface root together treat","治","8",NA,NA,NA,"156904","0","0.000810856547691945","-7.11741940273506","G2","L2","true"
"33","diffT","4.256",NA,"0.75",NA,"标本兼直","biao1 ben3 jian1 zhi2",NA,NA,"surface root together straighten","直","8","0","72.96","0.639271020889282","169439","0.75","0.000875635564321977","-7.04056057605273","G2","L1","false"
"33","sameT","4.256",NA,"0.75",NA,"标本兼质","biao1 ben3 jian1 zhi4",NA,NA,"surface root together question","质","8","0","60.52","0.636192679405212","104560","0.8","0.00054035053680384","-7.5232924867783","G2","L3","false"
"34","corr","4.719","4.474","0.867","0.889","根深蒂固","gen1 shen1 di4 gu4","gēn shēn dì gù","deeply rooted thing","root deep sprout strong","固","8",NA,NA,NA,"37582","0","0.000194218189309123","-8.54652834372731","G1","L1","true"
"34","diffT","4.719",NA,"0.867",NA,"根深蒂沽","gen1 shen1 di4 gu1",NA,NA,"root deep sprout buy","沽","8","0","67.53","0.640496015548706","1043","0.4","5.39006895453716e-06","-12.1309523800756","G1","L3","false"
"34","sameT","4.719",NA,"0.867",NA,"根深蒂故","gen1 shen1 di4 gu4",NA,NA,"root deep sprout old","故","9","-1","62.98","0.435827314853668","70067","0.4","0.000362095840304463","-7.92360162895691","G1","L2","false"
"35","corr","4.93","4.439","1","0.704","欢天喜地","huan1 tian1 xi3 di4","huān tiān xǐ dì","extremely happy","happy sky joyful earth","地","6",NA,NA,NA,"969349","0","0.00500945153500637","-5.29642884392871","G1","L1","true"
"35","diffT","4.93",NA,"1",NA,"欢天喜籴","huan1 tian1 xi3 di3",NA,NA,"happy sky joyful buy grain","籴","8","-2","68.48","0.783965408802032","106","0.75","5.47792242742991e-07","-14.4173697409643","G1","L3","false"
"35","sameT","4.93",NA,"1",NA,"欢天喜弟","huan1 tian1 xi3 di4",NA,NA,"happy sky joyful brother","弟","9","-3","77.42","0.7236209","42706","0.8333333","0.000341259063674843","-8.418714","G1","L2","false"
"36","corr","4.63","4.686","0.769","0.519","求真务实","qiu2 zhen1 wu4 shi2","qiú zhēn wù shí","do things seriously","search truth concentrate truth","实","8",NA,NA,NA,"368494","0","0.00190432221412581","-6.26362912682267","G3","L3","true"
"36","diffT","4.63",NA,"0.769",NA,"求真务式","qiu2 zhen1 wu4 shi4",NA,NA,"search truth concentrate type","式","6","2","71.64","0.616571426391602","142292","1","0.000735343903814958","-7.21517227183392","G3","L2","false"
"36","sameT","4.63",NA,"0.769",NA,"求真务时","qiu2 zhen1 wu4 shi2",NA,NA,"search truth concentrate hour","时","7","1","71.82","0.625908374786377","833532","1","0.00430756946866085","-5.44738146231885","G3","L1","false"
"37","corr","4.663","3.686","1","0.741","游刃有余","you2 ren4 you3 yu2","yóu rèn yǒu yú","sort it out with skills","move blade have extra","余","7",NA,NA,NA,"50601","0","0.000261498445990925","-8.24908221715028","G3","L3","true"
"37","diffT","4.663",NA,"1",NA,"游刃有雨","you2 ren4 you3 yu4",NA,NA,"move blade have rain","雨","8","-1","70.49","0.633708357810974","35370","0.6","0.000182786902130373","-8.60718955287688","G3","L2","false"
"37","sameT","4.663",NA,"1",NA,"游刃有鱼","you2 ren4 you3 yu2",NA,NA,"move blade have fish","鱼","8","-1","64.17","0.676875352859497","40452","0.777777777777778","0.000209049922673957","-8.47293747005434","G3","L1","false"
"38","corr","4.652","4.294","0.769","0.852","独树一帜","du2 shu4 yi1 zhi4","dú shù yī zhì","stand out","only stand one flag","帜","8",NA,NA,NA,"2452","0","1.26715715019416e-05","-11.2761495380203","G1","L1","true"
"38","diffT","4.652",NA,"0.769",NA,"独树一直","du2 shu4 yi1 zhi2",NA,NA,"only stand one straighten","直","8","0","76.12","0.665597558021545","169439","0.75","0.000875635564321977","-7.04056057605273","G1","L3","false"
"38","sameT","4.652",NA,"0.769",NA,"独树一质","du2 shu4 yi1 zhi4",NA,NA,"only stand one question","质","8","0","69.08","0.654701113700867","104560","0.8","0.00054035053680384","-7.5232924867783","G1","L2","false"
"39","corr","4.324","3.765","1","0.852","琳琅满目","lin2 lang2 man3 mu4","lín láng mǎn mù","beautiful things to see","beautiful jem full eye","目","5",NA,NA,NA,"180827","0","0.000934487055457422","-6.97551278300256","G3","L3","true"
"39","diffT","4.324",NA,"1",NA,"琳琅满母","lin2 lang2 man3 mu3",NA,NA,"beautiful jem full mother","母","5","0","80.07","0.625924825668335","71462","1","0.000369304992933015","-7.90388771620523","G3","L2","false"
"39","sameT","4.324",NA,"1",NA,"琳琅满木","lin2 lang2 man3 mu4",NA,NA,"beautiful jem full tree","木","4","1","105.96","0.552642464637756","54433","1","0.000281301652351219","-8.17608296850342","G3","L1","false"
"4","corr","4.93","4.246","1","0.815","再接再厉","zai4 jie1 zai4 li4","zài jiē zài lì","To persevere","again continue again dedicate","厉","5",NA,NA,NA,"17726","0","9.16053329703986e-05","-9.29802106777806","G1","L1","true"
"4","diffT","4.93",NA,"1",NA,"再接再礼","zai4 jie1 zai4 li3",NA,NA,"again continue again gift","礼","5","0","88.09","0.6723467","35612","1","0.00138918562404218","-8.600371","G1","L3","false"
"4","sameT","4.93",NA,"1",NA,"再接再立","zai4 jie1 zai4 li4",NA,NA,"again continue again stand","立","5","0","86.23","0.570423543453217","204985","0.5","0.00105933200828936","-6.85011675036468","G1","L2","false"
"40","corr","4.828","4.521","1","0.556","甜言蜜语","tian2 yan2 mi4 yu3","tián yán mì yǔ","to use flattering words","sweet words honey speech","语","9",NA,NA,NA,"82805","0","0.000427923930757862","-7.75656511005281","G2","L2","true"
