"Item","Condition","Predictability","Spelling","Pin_yin","Ur_Pinyin","Fig_Transl","Lit_Transl","Last_char","Strokes","StrokeDiff"
25,"corr",1,"各式各样","ge4 shi4 ge4 yang4","gè shì gè yàng","Of every type","every shape every aspect","样",10,NA
25,"diffT",NA,"各式各洋","ge4 shi4 ge4 yang2",NA,NA,"every shape every ocean","洋",9,1
25,"sameT",NA,"各式各恙","ge4 shi4 ge4 yang4",NA,NA,"every shape every sickness","恙",10,0
26,"corr",1,"同舟共济","tong2 zhou1 gong4 ji4","tóng zhōu gòng jì","To be on the same boat","same boat together help","济",9,NA
26,"diffT",NA,"同舟共疾","tong2 zhou1 gong4 ji2",NA,NA,"same boat together disease","疾",10,-1
26,"sameT",NA,"同舟共剂","tong2 zhou1 gong4 ji4",NA,NA,"same boat together medicine","剂",8,1
27,"corr",1,"咬牙切齿","yao3 ya2 qie4 chi3","yǎo yá qiè chǐ","To be furious","bite mouth tighten teeth","齿",8,NA
27,"diffT",NA,"咬牙切蚩","yao3 ya2 qie4 chi1",NA,NA,"bite mouth tighten ignorant","蚩",10,-2
27,"sameT",NA,"咬牙切侈","yao3 ya2 qie4 chi3",NA,NA,"bite mouth tighten extravagant","侈",8,0
28,"corr",1,"因地制宜","yin1 di4 zhi4 yi2","yīn dì zhì yí","Best according to circumstances","depending earth establish best","宜",8,NA
28,"diffT",NA,"因地制易","yin1 di4 zhi4 yi4",NA,NA,"depending earth establish change","易",8,0
28,"sameT",NA,"因地制怡","yin1 di4 zhi4 yi2",NA,NA,"depending earth establish harmony","怡",8,0
29,"corr",1,"多愁善感","duo1 chou2 shan4 gan3","duō chóu shàn gǎn","Emotional","lot worry much sentiment","感",13,NA
29,"diffT",NA,"多愁善榦","duo1 chou2 shan4 gan4",NA,NA,"lot worry much treetrunk","榦",14,-1
29,"sameT",NA,"多愁善橄","duo1 chou2 shan4 gan3",NA,NA,"lot worry much olive","橄",15,-2
30,"corr",1,"大吃一惊","da4 chi1 yi1 jing1","dà chī yī jīng","To be surprised","big eat one shock","惊",11,NA
30,"diffT",NA,"大吃一颈","da4 chi1 yi1 jing3",NA,NA,"big eat one neck","颈",11,0
30,"sameT",NA,"大吃一晶","da4 chi1 yi1 jing1",NA,NA,"big eat one crystal","晶",12,-1
31,"corr",1,"大同小异","da4 tong2 xiao3 yi4","dà tóng xiǎo yì","Similar","big equal small different","异",6,NA
31,"diffT",NA,"大同小仪","da4 tong2 xiao3 yi2",NA,NA,"big equal small ceremony","仪",5,1
31,"sameT",NA,"大同小亦","da4 tong2 xiao3 yi4",NA,NA,"big equal small also","亦",6,0
32,"corr",1,"大惊小怪","da4 jing1 xiao3 guai4","dà jīng xiǎo guài","Make a scene","big shock little odd","怪",8,NA
32,"diffT",NA,"大惊小乖","da4 jing1 xiao3 guai1",NA,NA,"big shock little obedient","乖",8,0
32,"sameT",NA,"大惊小䊽","da4 jing1 xiao3 guai4",NA,NA,"big shock little thread","䊽",10,-2
34,"corr",1,"天涯海角","tian1 ya2 hai3 jiao3","tiān yá hǎi jiǎo","Opposites","sky edge sea corner","角",7,NA
34,"diffT",NA,"天涯海娇","tian1 ya2 hai3 jiao1",NA,NA,"sky edge sea lovable","娇",9,-2
34,"sameT",NA,"天涯海狡","tian1 ya2 hai3 jiao3",NA,NA,"sky edge sea crafty","狡",9,-2
35,"corr",1,"如火如荼","ru2 huo3 ru2 tu2","rú huǒ rú tú","Full expansion","like fire like grass","荼",10,NA
35,"diffT",NA,"如火如兔","ru2 huo3 ru2 tu4",NA,NA,"like fire like rabbit","兔",8,2
35,"sameT",NA,"如火如徒","ru2 huo3 ru2 tu2",NA,NA,"like fire like apprentice","徒",10,0
37,"corr",1,"安居乐业","an1 ju1 le4 ye4","ān jū lè yè","To live peacefully","peacefully live enjoy work","业",5,NA
37,"diffT",NA,"安居乐爷","an1 ju1 le4 ye2",NA,NA,"peacefully live enjoy grandpa","爷",6,-1
37,"sameT",NA,"安居乐叶","an1 ju1 le4 ye4",NA,NA,"peacefully live enjoy leaf","叶",5,0
38,"corr",1,"对症下药","dui4 zheng4 xia4 yao4","duì zhèng xià yào","To treat something","regarding disease give medicine","药",9,NA
38,"diffT",NA,"对症下姚","dui4 zheng4 xia4 yao2",NA,NA,"regarding disease give handsome","姚",9,0
38,"sameT",NA,"对症下钥","dui4 zheng4 xia4 yao4",NA,NA,"regarding disease give key","钥",9,0
39,"corr",1,"应有尽有","ying1 you3 jin4 you3","yīng yǒu jìn yǒu","Everything at its place","should exist everything exist","有",6,NA
39,"diffT",NA,"应有尽优","ying1 you3 jin4 yao1",NA,NA,"should exist everything excellent","优",6,0
39,"sameT",NA,"应有尽卣","ying1 you3 jin4 you3",NA,NA,"should exist everything winecontainer","卣",7,-1
40,"corr",0.867,"异口同声","yi4 kou3 tong2 sheng1","yì kǒu tóng shēng","To speak in chorus","different mouth same voice","声",7,NA
40,"diffT",NA,"异口同省","yi4 kou3 tong2 sheng3",NA,NA,"different mouth same save","省",9,-2
40,"sameT",NA,"异口同泩","yi4 kou3 tong2 sheng1",NA,NA,"different mouth same flood","泩",8,-1
41,"corr",1,"弄虚作假","nong4 xu1 zuo4 jia3","nòng xū zuò jiǎ","Lie","do fake create mischievous","假",11,NA
41,"diffT",NA,"弄虚作颊","nong4 xu1 zuo4 jia2",NA,NA,"do fake create cheeks","颊",12,-1
41,"sameT",NA,"弄虚作胛","nong4 xu1 zuo4 jia3",NA,NA,"do fake create shoulder_blade","胛",9,2
42,"corr",1,"引人入胜","yin3 ren2 ru4 sheng4","yǐn rén rù shèng","Mesmerize people with beauty","lure person enter splendor","胜",9,NA
42,"diffT",NA,"引人入绳","yin3 ren2 ru4 sheng2",NA,NA,"lure person enter rope/string","绳",11,-2
42,"sameT",NA,"引人入盛","yin3 ren2 ru4 sheng4",NA,NA,"lure person enter prosperous","盛",11,-2
43,"corr",1,"得心应手","de2 xin1 ying4 shou3","dé xīn yìng shǒu","Do something with skills","obtain heart adapt hand","手",4,NA
43,"diffT",NA,"得心应收","de2 xin1 ying4 shou1",NA,NA,"obtain heart adapt receive","收",6,-2
43,"sameT",NA,"得心应守","de2 xin1 ying4 shou3",NA,NA,"obtain heart adapt guard","守",6,-2
44,"corr",0.917,"循序渐进","xun2 xu4 jian4 jin4","xún xù jiàn jìn","Follow a reasonable order","follow step gradually enter","进",7,NA
44,"diffT",NA,"循序渐金","xun2 xu4 jian4 jin1",NA,NA,"follow step gradually gold","金",8,-1
44,"sameT",NA,"循序渐妗","xun2 xu4 jian4 jin4",NA,NA,"follow step gradually aunt","妗",7,0
45,"corr",1,"心平气和","xin1 ping2 qi4 he2","xīn píng qì hé","Peaceful attitude","heart quiet breath peaceful","和",8,NA
45,"diffT",NA,"心平气诃","xin1 ping2 qi4 he1",NA,NA,"heart quiet breath scold","诃",8,0
45,"sameT",NA,"心平气河","xin1 ping2 qi4 he2",NA,NA,"heart quiet breath river","河",8,0
46,"corr",1,"心旷神怡","xin1 kuang4 shen2 yi2","xīn kuàng shén yí","Full of joy","heart free spirit harmonious","怡",8,NA
46,"diffT",NA,"心旷神异","xin1 kuang4 shen2 yi4",NA,NA,"heart free spirit different","异",6,2
46,"sameT",NA,"心旷神夷","xin1 kuang4 shen2 yi2",NA,NA,"heart free spirit barbarians","夷",6,2
47,"corr",1,"心满意足","xin1 man3 yi4 zu2","xīn mǎn yì zú","Happy in the heart","heart full desire enough","足",7,NA
47,"diffT",NA,"心满意诅","xin1 man3 yi4 zu3",NA,NA,"heart full desire curse","诅",7,0
47,"sameT",NA,"心满意卒","xin1 man3 yi4 zu2",NA,NA,"heart full desire soldier","卒",8,-1
48,"corr",1,"心甘情愿","xin1 gan1 qing2 yuan4","xīn gān qíng yuàn","Do something with passion","heart sweet emotion will","愿",14,NA
48,"diffT",NA,"心甘情缘","xin1 gan1 qing2 yuan2",NA,NA,"heart sweet emotion fate","缘",12,2
48,"sameT",NA,"心甘情媛","xin1 gan1 qing2 yuan4",NA,NA,"heart sweet emotion beautiful_woman","媛",12,2
49,"corr",1,"志同道合","zhi4 tong2 dao4 he2","zhì tóng dào hé","To have the same principles","will same road align","合",6,NA
49,"diffT",NA,"志同道吓","zhi4 tong2 dao4 he4",NA,NA,"will same road scare","吓",6,0
49,"sameT",NA,"志同道何","zhi4 tong2 dao4 he2",NA,NA,"will same road carry","何",7,-1
50,"corr",1,"情有独钟","qing2 you3 du2 zhong1","qíng yǒu dú zhōng","Attraction","love have only concentrate","钟",9,NA
50,"diffT",NA,"情有独重","qing2 you3 du2 zhong4",NA,NA,"love have only heavy","重",9,0
