"Item","Condition","Predictability","Spelling","Pin_yin","Ur_Pinyin","Fig_Transl","Lit_Transl","Last_char","Strokes","StrokeDiff"
94,"diffT",NA,"触目惊㐰","chu4 mu4 jing1 xin4",NA,NA,"touch eye shock letter/believe","㐰",5,-1
94,"sameT",NA,"触目惊䜣","chu4 mu4 jing1 xin1",NA,NA,"touch eye shock pleased/happy","䜣",5,-1
96,"corr",0.867,"谈天说地","tan2 tian1 shuo1 di4","tán tiān shuō dì","talk of everything","say sky say earth","地",6,NA
96,"diffT",NA,"谈天说邸","tan2 tian1 shuo1 di3",NA,NA,"say sky say residence","邸",7,-1
96,"sameT",NA,"谈天说弟","tan2 tian1 shuo1 di4",NA,NA,"say sky say little brother","弟",7,-1
97,"corr",1,"赏心悦目","shang3 xin1 yue4 mu4","shǎng xīn yuè mù","nice to hear","appreciate heart return eye","目",5,NA
97,"diffT",NA,"赏心悦母","shang3 xin1 yue4 mu3",NA,NA,"appreciate heart return mother","母",5,0
97,"sameT",NA,"赏心悦木","shang3 xin1 yue4 mu4",NA,NA,"appreciate heart return tree","木",4,1
98,"corr",1,"轰轰烈烈","hong1 hong1 lie4 lie4","hōng hōng liè liè","huge impact","loud loud grand grand","烈",10,NA
98,"diffT",NA,"轰轰烈䟩","hong1 hong1 lie4 lie3",NA,NA,"loud loud grand struggle_walking","䟩",12,-2
98,"sameT",NA,"轰轰烈猎","hong1 hong1 lie4 lie4",NA,NA,"loud loud grand hunting","猎",11,-1
99,"corr",1,"运筹帷幄","yun4 chou2 wei2 wo4","yùn chóu wéi wò","plan strategically","move plan tend camp","幄",12,NA
99,"diffT",NA,"运筹帷蜗","yun4 chou2 wei2 wo1",NA,NA,"move plan tend snail","蜗",13,-1
99,"sameT",NA,"运筹帷斡","yun4 chou2 wei2 wo4",NA,NA,"move plan tend turn","斡",14,-2
100,"corr",1,"铺天盖地","pu1 tian1 gai4 di4","pū tiān gài dì","spread everywhere","spread sky cover soil","地",6,NA
100,"diffT",NA,"铺天盖籴","pu1 tian1 gai4 di3",NA,NA,"spread sky cover buy grain","籴",8,-1
100,"sameT",NA,"铺天盖帝","pu1 tian1 gai4 di4",NA,NA,"spread sky cover emperor","帝",9,-3
103,"corr",1,"顾名思义","gu4 ming2 si1 yi4","gù míng sī yì","understand meaning","look name think meaning","义",3,NA
103,"diffT",NA,"顾名思仪","gu4 ming2 si1 yi2",NA,NA,"look name think ceremony","仪",5,-2
103,"sameT",NA,"顾名思艺","gu4 ming2 si1 yi4",NA,NA,"look name think art","艺",4,-1
104,"corr",0.769,"风花雪月","feng1 hua1 xue3 yue4","fēng huā xuě yuè","romantic","wind flower snow moon","月",4,NA
104,"diffT",NA,"风花雪曰","feng1 hua1 xue3 yue1",NA,NA,"wind flower snow speak","曰",4,0
104,"sameT",NA,"风花雪乐","feng1 hua1 xue3 yue4",NA,NA,"wind flower snow music","乐",5,-1
105,"corr",1,"风起云涌","feng1 qi3 yun2 yong3","fēng qǐ yún yǒng","largely spread phenomena","wind rise cloud emerge","涌",10,NA
105,"diffT",NA,"风起云庸","feng1 qi3 yun2 yong1",NA,NA,"wind rise cloud common","庸",11,-1
105,"sameT",NA,"风起云勇","feng1 qi3 yun2 yong3",NA,NA,"wind rise cloud brave","勇",9,1
106,"corr",1,"齐心协力","qi2 xin1 xie2 li4","qí xīn xié lì","work together","together heart cooperate power","力",2,NA
106,"diffT",NA,"齐心协礼","qi2 xin1 xie2 li3",NA,NA,"together heart cooperate gift","礼",5,-3
106,"sameT",NA,"齐心协立","qi2 xin1 xie2 li4",NA,NA,"together heart cooperate stand","立",5,-3
